X,Y,OBJECTID,FULL_ADDRESS,Name,PID,BWID,Address,DateAdded,DateDeleted,GlobalID
-80.8161314434816,35.0589286357816,223976,7860 REA RD,Target,22504123,100036516,195359,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{A76DD386-1C2E-40CE-8BE0-46D43C14765D}
-80.7717496029171,35.0664586059776,224389,10616 PROVIDENCE RD,Harris Teeter,22511230,100024820,364775,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{825774B2-6819-448D-8B9E-83A03F03E2F5}
-80.7846331239807,35.0963283054777,224740,3333 PINEVILLE-MATTHEWS RD,Harris Teeter,22515104,100036537,365342,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{21DDF78A-7120-4AE3-8330-C2A71CEA5AA0}
-80.8180661002736,35.0787112062115,227531,6418 REA RD,Trader Joe's,22551195,300769855,297298,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{871F6835-93C9-43C1-BB25-F6DC1C5D312A}
-80.7301317772547,35.0822182085695,233386,3110 FINCHER FARM RD,Publix,22756299,301840101,476649,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{4D8FE50F-BCC3-4A20-A108-33D6507F39B7}
-80.8067143516144,35.0363424224109,235266,9720 REA RD,Harris Teeter,22908169,300775341,465607,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{35487F6A-21E1-44E5-8E9B-E81EA6AE0FC2}
-80.8084839274799,35.0374893960569,235277,9870 REA RD,Target,22908174,300853833,466305,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{6CBA770C-943B-4020-B1AE-30D96E1E5B66}
-80.7714779323204,35.0614884106647,236740,10828 PROVIDENCE RD,The Fresh Market,22915126,301949114,460194,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{F00183F1-05B9-47AA-875F-EAA68C20CA52}
-80.7708706584263,35.052447601319,236835,11516 PROVIDENCE RD,Harris Teeter,22917108,,374224,1970/01/01 00:00:00+00,2020/10/15 00:00:00+00,{2DD3C1EB-F0CC-45A4-BFFD-F68268727C38}
-80.6570668347215,35.2523870329585,243909,8010 CAMBRIDGE COMMONS DR,Food Lion,11107499,300178583,334456,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{42FC31AF-A428-4441-AE5B-8C4EF015AAD9}
-80.853275801986,35.1995741509793,246009,2226 PARK RD,Food Lion,12110103,301151626,77265,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{9EE9D916-38FB-43AD-B6C4-231AC72C5116}
-80.7581974974915,35.2954440221592,249242,7735 N TRYON ST,Walmart Supercenter,04722225,100035069,495143,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{315295FD-7799-44D3-8659-CC04E58F2B8A}
-80.8144303248156,35.3341022774408,249323,8445 DAVIS LAKE PY,Harris Teeter,04322108,301600089,451647,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{D22B90DC-C772-4970-A194-B27CB66E87CF}
-80.8774890996335,35.4862316851122,252306,20623 TORRENCE CHAPEL RD,The Fresh Market,00114508,301154216,69974,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{D5EE6C36-6759-4525-87C4-3C28E604A35E}
-80.7547953300974,35.336889128436,252550,1820 EAST ARBORS DR,Trader Joe's,02901174,300999351,492806,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{5C1D22C3-AA6E-4F16-B85E-EAFBD802080F}
-80.8438750842032,35.2311099601718,252558,325 W 6TH ST,Harris Teeter,07801C93,300992448,105471,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{746395A7-4B77-4C49-804F-EAEE1B1750AC}
-80.866670929191,35.4038409432476,252775,14021 BOREN ST,Earth Fare,01716518,,531329,1970/01/01 00:00:00+00,2020/10/15 00:00:00+00,{6CA2D9F8-B750-4121-AC1C-EC0235A487D6}
-80.8892006941107,35.2401660558643,253467,3021 FREEDOM DR,Save-A-Lot,06713102,300702459,421644,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{6A9C9BA5-D32E-42D3-BAB4-9C2499978629}
-80.8481205225065,35.0242750763024,257762,16625 LANCASTER HY,Harris Teeter,22308103,,487180,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{205307FD-409F-4A5D-B9B5-592D73E559F5}
-80.8600036313498,35.3502835430044,257813,9841 NORTHLAKE CENTRE PY,Target,02529126,301420704,483734,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{FB67BB1C-9BF8-4117-83F4-FBA9A528E2DA}
-80.7521039299507,35.2492941984868,258368,6129 THE PLAZA,Wow Supermarket 2,09709420,300185180,425073,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{4E8C4204-078F-4480-BD8E-8B4D170CC4AA}
-80.8934083781133,35.1338559482686,258572,201 W ARROWOOD RD,Compare Foods,20318907,100005963,66991,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{AE6EF2C8-ECD5-49B1-B95F-CCD009EDC03A}
-80.7570009652703,35.2076727121561,264604,3600 N SHARON AMITY RD,Compare Foods,10301136,301222563,112191,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{0F1F8A6F-5B5B-41D1-A09F-63B88BD843A3}
-80.8283017865799,35.3711441125423,265828,11145 BRYTON TOWN CENTER DR,Walmart Supercenter,01913149,,535460,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{19487AD1-7202-47BD-9A59-E2F6F27602D0}
-80.873972974255,35.077787513584,266487,11425 CAROLINA PLACE PY,Sam's Club,22151206,100028476,18412,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{D6DB5D1E-B2C2-47BD-86EA-DB1D33D77F4C}
-80.7962482569047,35.3355774767626,267575,6430 W SUGAR CREEK RD,Food Lion,04309122,300384526,393847,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{4B18DDAE-6E72-463E-937C-38369C259857}
-80.6843919502833,35.1394319974185,268694,3609 MATTHEWS-MINT HILL RD,Food Lion,13533157,100028285,384351,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{3E75D932-6FA5-4AC3-A846-005C54BC118B}
-80.8685953935293,35.0921794325516,269390,10629 PARK RD,Aldi,22119231,,531150,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{8FC031FF-09C7-452B-A236-92473CD95397}
-80.7981896089719,35.2894274139097,269805,5624 N GRAHAM ST,Food Lion,04510109,300752959,468943,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{ACC589C3-3295-4C2E-9FF8-528F9994CFC9}
-80.8867194639849,35.3444927858504,270180,8138 MT HOLLY-HUNTERSVILLE RD,Food Lion,03327110,301184091,512933,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{4E7543A6-0A3B-4D23-861A-9DEB6270C2BA}
-80.945979666697,35.3293407048574,285627,9820 CALLABRIDGE CT,Walmart Supercenter,02326116,300989015,388468,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{23D0431E-F0B7-4E66-A5D1-19077F635117}
-80.859222678834,35.3041239902374,286630,4120 SUNSET RD,Aldi,03929124,,435526,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{E5A04759-B4F8-4B09-AABE-1C3F652908BF}
-80.8583039785468,35.1165465761702,291636,8538 PARK RD,Harris Teeter,20715301,100036543,436370,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{618F289B-1569-4625-9C79-1D070FA1046B}
-80.7329747591379,35.0827518030356,295080,3100 WEDDINGTON RD,Harris Teeter,22756103,100024823,374662,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{FDFC3FE9-6093-4AA0-8982-193E0F04700E}
-80.849973548383,35.5017902351711,295820,261 GRIFFITH ST,Healthy Home Market,00325506,,88004,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{11CA6EF4-FFE1-4FC6-A83A-C9F35278E8EB}
-80.7658789092162,35.2775649293943,299309,6514 N TRYON ST,Around the World Market,,301759481,171090,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{19A22332-B767-42DA-A3D9-60169736DF51}
-80.6463816899021,35.1802733467699,300005,8000 BLAIR RD,Aldi,13901146,,196601,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{582C375C-DF49-4698-B4B4-9BA068F2D8BF}
-80.7861674150474,35.372505462017,303297,5817 PROSPERITY CHURCH RD,Aldi,02756109,,435534,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{F3734C74-8F03-4E33-9976-D13228C73F2E}
-80.7858830197718,35.366341855923,303339,5336 DOCIA CROSSING RD,Bi-Lo,02932134,,383921,1970/01/01 00:00:00+00,2020/10/15 00:00:00+00,{8261280C-2E16-4D6C-AA6A-7497CC1C577A}
