NPA,m50_2013,r50_2013,m52_2016,r52_2016,m52_2015,r52_2015,m52_2013,r52_2013,m48_2018,r48_2018,m48_2017,r48_2017,m48_2016,r48_2016,m48_2015,r48_2015,m48_2014,r48_2014,m48_2012,r48_2012,m48_2010,r48_2010,m72_2018,r72_2018,m72_2017,r72_2017,r73_2015,r73_2014
NPA,Arts_Participation_2013,Arts_Participating_Households_2013,311_Requests_2016,311_Calls_2016,311_Requests_2015,311_Calls_2015,311_Requests_2013,311_Calls_2013,Voter_Participation_2018,Voters_Participating_2018,Voter_Participation_2017,Voters_Participating_2017,Voter_Participation_2016,Voters_Participating_2016,Voter_Participation_2015,Voters_Participating_2015,Voter_Participation_2014,Voters_Participating_2014,Voter_Participation_2012,Voters_Participating_2012,Voter_Participation_2010,Voters_Participating_2010,Board_Committee_Participation_2018,Board_Committee_Participants_2018,Board_Committee_Participation_2017,Board_Committee_Participants_2017,Neighborhood_Organizations_2015,Neighborhood_Organizations_2014
210,21,262,7.9,176,8.9,167,9,167,67,829,20,312,76,824,23,192,57,405,81,846,48,381,0,1,0,1,2,1
211,8,69,38,987,36.9,938,31.4,790,62,867,19,330,76,1103,16,199,55,674,79,1131,46,610,1,3,1,3,0,0
212,7,32,40.8,571,31.2,434,29.8,409,59,292,19,144,67,413,22,115,55,273,71,452,47,261,0,0,0,0,1,1
213,35,216,28.7,440,30.5,485,30.8,487,77,798,41,498,81,858,31,321,62,615,83,923,56,598,2,3,2,3,7,4
215,48,154,42.9,375,38.8,338,34.5,294,79,555,48,380,87,562,45,274,70,451,87,532,65,380,1,1,2,2,2,2
216,37,132,30.5,251,29.2,238,28.7,232,78,272,38,153,81,453,30,151,59,275,82,446,56,273,1,1,3,2,7,6
217,44,213,39.7,517,33.8,437,36.2,458,80,745,37,387,81,838,33,322,57,535,86,821,59,533,1,1,1,1,2,1
218,13,157,36.4,853,29,775,29.4,782,68,1144,24,495,80,1438,22,344,60,901,80,1406,48,799,0,0,1,2,4,3
219,7,56,14.9,366,15.9,305,18.2,345,48,483,6,90,54,783,4,42,22,223,58,564,22,172,0,0,0,1,2,2
220,5,32,20.7,369,19.4,343,22.9,401,56,466,13,141,73,658,13,98,50,369,70,654,40,358,0,0,0,0,,0
221,7,70,15.4,417,19.7,453,16.6,380,54,659,14,231,74,997,12,138,48,474,75,849,39,364,0,1,1,2,1,1
222,36,245,37.9,600,32,504,30.3,478,79,912,37,487,83,1028,29,336,61,686,85,998,56,619,1,2,1,1,4,3
223,4,28,49.6,945,41.8,806,45.6,868,59,537,18,223,61,752,16,187,45,506,73,869,46,464,0,0,0,0,3,3
224,16,176,22.1,520,22,519,22.7,535,68,928,23,398,78,1177,21,275,56,675,84,1071,53,582,0,1,1,2,1,1
225,7,35,1.7,23,0.4,5,0.9,12,51,227,7,39,65,467,4,24,42,232,77,439,42,197,0,0,0,0,0,0
226,15,71,26.3,229,27.7,241,29.3,253,64,333,19,129,77,433,19,87,56,242,77,386,42,184,0,0,0,0,2,2
227,7,55,29.1,738,23.5,598,21.1,527,62,801,21,316,73,1073,14,185,49,605,82,1040,50,573,0,1,0,1,2,2
228,7,13,1.5,8,1.7,9,0.7,4,62,256,10,42,71,253,3,10,42,127,79,232,44,115,0,0,0,0,1,1
229,8,48,50.5,1209,56.8,1220,44.1,785,43,328,11,116,69,1397,11,170,43,593,80,969,42,355,0,0,0,0,2,2
230,7,75,19.7,483,15.2,373,19.6,406,51,370,9,93,66,519,9,62,40,242,79,623,35,168,1,2,1,2,0,0
231,13,98,20.4,570,20,554,28.3,521,66,945,21,375,78,1167,16,197,55,618,78,889,45,462,0,0,0,0,3,3
232,11,105,37.4,968,37,946,30.7,778,61,979,16,294,77,1187,11,141,46,559,79,1070,43,498,0,0,0,0,1,0
233,18,203,22.3,569,16.7,427,16.9,432,67,1003,23,401,80,1230,24,299,55,688,83,1149,53,655,0,1,1,3,1,0
234,11,97,54,1424,46.1,1209,47.2,1203,61,955,25,505,66,1308,19,342,47,815,72,1236,43,689,1,3,2,4,6,6
235,30,268,35.7,733,33.1,683,36.6,748,74,1055,36,580,86,1267,33,434,65,814,84,1193,56,742,1,2,1,2,1,1
236,62,264,23.6,251,24.5,260,24.4,249,76,809,38,464,83,950,34,357,68,688,88,904,60,585,0,0,0,0,1,1
237,4,36,44.6,1255,42.2,1147,36.2,947,56,856,16,306,67,1157,13,185,41,573,74,995,40,459,0,0,0,0,0,0
238,3,28,45.8,1091,45,1072,42.5,1000,60,767,20,339,72,980,18,217,52,617,74,1070,41,552,0,1,1,2,6,4
240,12,101,43.7,720,38,623,40.9,666,64,586,22,255,75,723,19,157,50,374,77,702,42,362,1,2,1,2,2,2
241,51,371,33.7,645,30,574,29.6,561,79,1178,43,702,85,1332,34,508,64,917,86,1270,63,890,1,2,2,3,2,2
242,7,34,27.3,454,27.1,442,23.1,372,61,514,17,177,66,653,9,82,42,349,79,658,48,339,1,1,0,0,1,1
243,6,3,21.8,27,22.6,28,26.2,33,61,97,15,18,78,57,16,11,47,30,70,42,48,25,0,0,0,0,0,0
244,10,70,27.5,531,35.5,684,29.2,563,64,705,25,327,69,885,21,248,53,608,81,957,51,550,0,0,0,0,1,1
245,5,33,25.6,368,23.7,338,21.9,308,51,325,16,141,67,514,16,102,48,281,80,524,36,216,0,0,0,0,1,1
246,6,71,24.3,582,21.2,506,22,516,53,603,16,239,68,879,15,160,46,456,80,855,42,397,0,0,0,0,2,2
247,1,3,12.6,145,12.5,143,11.4,128,32,103,5,22,52,198,4,13,34,98,76,245,24,65,0,0,0,0,0,0
248,4,29,10.9,197,10.2,184,7.9,141,44,279,5,42,62,452,5,25,34,166,79,448,30,99,1,1,1,1,0,0
249,2,8,12.3,206,11.7,194,12.7,208,39,107,9,37,55,199,11,33,33,96,78,240,38,72,0,0,0,0,0,0
250,14,92,19.3,332,17.9,308,16.9,290,68,643,18,227,77,805,13,116,53,450,74,748,43,376,1,1,1,1,2,2
251,14,87,34.1,625,28.6,519,35.3,595,66,794,21,306,76,944,15,157,56,559,86,876,50,433,1,1,0,0,1,1
252,20,69,26.5,277,27.2,283,27.6,288,75,473,29,230,80,556,23,141,61,362,78,545,50,323,0,0,0,0,1,1
253,26,226,19.1,391,18.6,381,18,368,68,905,24,407,77,1127,21,268,57,684,82,1044,48,571,0,0,0,1,0,0
254,13,43,14.4,136,25.3,137,14.5,79,50,215,9,49,70,319,6,18,38,80,77,185,39,69,0,0,0,0,0,0
255,23,284,19.3,559,20.3,587,17.7,511,71,1351,28,621,83,1536,25,424,61,1004,87,1517,53,874,1,2,1,2,6,6
256,19,202,2.4,80,2.6,80,1.6,45,66,2314,20,734,82,2076,7,128,56,904,81,1324,53,771,1,6,2,6,1,1
257,17,219,9.5,340,11.1,401,10.7,344,57,1204,11,302,70,1522,10,160,46,684,78,1317,40,545,0,1,0,1,1,1
258,5,49,50.1,1566,41.5,1270,46.1,1338,59,956,18,390,72,1232,16,233,50,707,74,1201,41,594,0,0,0,0,2,1
259,7,68,34.2,853,26.5,660,28.5,706,59,767,17,280,68,1040,11,137,45,550,75,955,39,453,0,0,0,0,2,1
260,7,88,37.7,1421,34.8,1302,34.7,1292,65,1294,26,656,76,1664,24,472,58,1121,81,1800,51,1009,1,2,1,3,8,5
261,14,118,48.1,1130,47.5,1116,45.8,1075,70,933,25,423,80,1142,22,273,54,627,76,1076,44,594,0,0,0,1,1,1
262,26,318,28.5,918,25.4,817,26.7,860,75,1758,28,778,83,2002,27,589,63,1327,82,1946,53,1186,0,1,0,1,2,2
263,27,274,38.2,1019,39.8,1048,37,953,76,1396,34,711,80,1631,29,552,60,1110,84,1521,58,992,0,1,0,1,4,4
264,12,110,23.9,503,18.8,392,20.3,405,65,851,22,352,76,1093,14,167,55,605,81,969,44,449,1,2,0,0,2,2
265,17,92,33.4,500,34.5,516,32.2,482,68,649,26,320,77,844,24,231,55,498,76,733,48,463,0,0,0,0,4,2
266,10,109,26.4,758,19,544,14.8,425,63,1142,16,353,78,1471,12,193,53,778,79,1326,44,675,1,3,1,2,1,2
267,14,221,22,1014,21.9,1006,22.5,989,64,1881,17,604,78,2290,10,246,48,1055,78,1932,41,901,0,1,0,0,5,5
268,6,39,38.9,695,36.1,646,33.5,588,62,622,21,276,72,785,22,204,56,502,76,813,48,474,0,0,0,0,2,2
269,21,257,28.7,801,27.8,777,25.8,715,72,1227,30,572,77,1384,27,428,56,844,81,1319,48,769,1,3,1,3,1,1
270,2,9,8.2,114,9.7,134,5.9,81,42,191,6,40,57,328,5,20,31,117,78,346,33,98,1,1,1,2,0,0
271,5,20,51.8,631,54.1,653,54.7,639,65,477,25,241,67,648,20,177,51,442,80,705,49,390,1,1,3,4,6,6
272,4,35,5.3,77,5.3,77,5.3,77,47,269,7,54,62,437,7,42,39,187,75,364,27,94,0,0,0,0,0,0
273,11,78,16.5,309,12.9,242,13.1,234,59,676,15,205,74,842,9,82,51,427,82,731,40,315,0,0,0,0,1,1
274,7,36,5,53,4.5,47,4.3,45,54,235,11,57,68,291,8,23,48,117,83,300,21,78,0,0,0,0,0,0
275,17,148,16.1,341,17,359,15.7,331,66,832,24,379,79,1097,24,284,59,640,81,989,47,555,1,3,2,5,3,3
276,22,146,28.4,560,26.9,531,27.2,536,67,794,23,344,79,1004,18,199,56,585,82,976,48,511,0,0,1,1,1,1
277,15,84,17.6,353,21.2,382,26,397,66,1036,20,344,79,1105,15,157,56,541,80,750,46,363,0,1,0,0,1,1
278,7,56,12.9,207,11.7,188,9.1,145,54,428,10,109,71,642,8,56,41,263,81,588,27,173,1,1,1,2,0,0
279,11,99,2.3,35,1.7,26,0.8,12,60,474,13,137,73,667,12,89,48,322,78,631,35,259,0,0,0,0,0,0
280,5,18,48.2,617,41.8,533,43.9,550,46,271,9,75,68,447,10,55,40,215,66,431,31,170,0,0,0,0,0,0
281,9,45,12.8,137,7.6,81,8.9,95,58,319,15,111,72,432,9,44,47,208,74,392,36,180,0,0,0,0,0,0
282,6,28,39.1,578,35.2,511,32.3,453,61,477,18,178,71,624,13,104,50,373,77,620,44,309,0,0,0,0,0,0
283,7,76,38.3,1018,33.9,901,30.6,801,64,970,20,379,72,1256,15,227,49,695,77,1179,43,626,0,0,0,0,3,2
284,40,115,24.6,237,21.8,209,20.1,195,72,462,18,137,82,574,20,127,57,349,83,477,52,311,0,0,0,0,1,1
285,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
286,6,5,18.2,33,9,17,4.2,8,50,116,3,12,58,188,2,7,38,104,63,202,30,89,0,0,0,0,0,0
287,8,95,2.2,52,2,49,3.9,89,48,584,7,119,65,880,5,46,38,321,76,703,30,260,0,1,0,1,,0
288,19,185,9,204,7.2,161,8.3,183,72,1033,21,356,83,1233,17,219,64,819,82,1152,53,723,0,1,1,3,,3
289,13,171,29.6,1097,29.4,1077,28,1022,56,1295,16,465,74,1690,12,218,45,779,75,1527,42,745,1,2,1,3,1,0
290,8,18,48.1,467,44.4,436,78,415,49,163,13,69,62,236,15,52,46,156,66,283,32,125,2,1,1,1,0,0
291,2,15,10.9,301,9.7,267,10.7,284,41,288,8,81,58,483,7,43,37,224,70,526,27,156,0,0,0,0,0,0
292,1,4,44.8,504,40.5,460,37.9,444,40,190,7,48,61,354,6,29,41,175,73,356,24,101,0,0,0,0,0,1
293,3,8,73.5,648,72.3,594,64.3,543,50,237,12,83,61,394,10,53,38,205,72,404,31,137,0,0,1,1,2,2
294,1,4,50.3,506,45.8,460,43.4,430,52,284,14,110,61,400,13,70,43,226,78,442,34,167,0,0,0,0,1,1
295,3,14,36.7,523,31.9,454,29.7,424,57,383,15,139,69,565,14,102,50,346,75,616,40,277,1,1,0,0,1,1
296,12,58,25.2,418,22,345,19.4,263,68,468,23,188,84,969,21,182,63,496,80,577,53,374,1,2,1,2,2,2
297,48,70,40.4,182,38.9,175,26.3,116,79,267,42,159,90,303,38,121,70,222,89,304,63,191,0,0,0,0,1,1
298,7,54,3.3,50,4.2,63,5.2,78,47,146,9,35,61,406,4,20,35,160,78,397,27,122,0,0,1,1,,0
299,9,108,30.3,946,23.3,718,24.8,748,61,1043,14,333,72,1357,13,182,49,674,70,1191,35,523,1,2,0,1,2,2
300,5,27,1.4,15,0.4,4,1.8,19,0,0,0,0,67,392,8,36,48,192,78,324,31,127,0,0,0,0,,0
301,12,86,31.3,718,32.4,729,34.4,727,62,851,21,364,77,1142,18,213,58,634,75,964,44,511,1,2,1,2,3,3
302,22,253,25.4,763,24.9,745,21.9,646,70,1152,28,544,81,1431,24,392,57,860,84,1383,48,744,0,0,0,1,2,2
303,9,76,12.3,222,10.6,192,9.3,166,59,503,16,182,75,660,16,109,47,293,75,578,37,256,0,0,0,0,0,0
304,,,2.2,27,2.1,26,2.7,33,40,95,4,16,50,157,2,5,28,68,74,166,13,16,0,0,0,0,0,0
305,3,11,36.6,327,37.7,338,35.5,313,59,306,21,140,76,425,20,94,56,263,79,428,47,232,0,0,0,0,1,1
306,1,3,13.1,195,12.1,161,10.6,104,45,221,11,71,62,329,8,30,37,134,76,207,18,39,0,0,0,0,0,0
307,5,55,24.4,955,32.6,968,35.1,1035,61,1020,18,391,73,1363,15,230,53,751,76,1269,47,665,0,0,0,0,2,2
308,20,92,28.1,356,24,304,35.2,406,67,507,18,159,79,576,16,106,51,323,80,584,42,270,1,1,1,1,1,1
309,23,139,27,486,24.1,429,24,415,71,787,23,306,82,944,18,184,58,584,83,888,49,467,0,0,0,0,1,1
310,21,169,29.8,664,30.9,685,30.2,668,69,927,24,386,77,1063,17,213,52,637,82,1076,41,512,0,1,0,1,1,2
311,7,38,70.4,863,59.4,723,60.3,750,59,450,24,257,72,630,25,190,56,414,74,685,43,366,5,6,3,4,6,6
312,1,5,30.9,549,23,409,22.9,400,48,348,10,101,58,551,10,69,35,243,73,520,36,209,1,1,1,1,1,1
313,7,43,26,433,25.5,426,24.2,403,58,416,14,145,72,591,12,80,47,306,67,580,31,260,0,0,0,0,1,1
314,8,77,17.4,456,19.7,523,22.2,587,59,448,18,207,67,623,19,158,45,358,74,683,35,271,0,0,0,0,0,0
315,28,91,39.5,295,38.7,287,42.9,262,64,613,21,232,83,665,25,103,59,232,76,356,39,165,2,4,5,4,2,1
316,3,42,22.3,960,19.9,850,17.6,757,51,597,13,231,63,955,14,168,42,494,68,941,39,467,0,0,0,0,1,1
317,1,4,50.7,409,59.8,477,53.1,416,48,206,14,89,61,323,12,56,46,203,69,383,31,151,2,2,2,2,1,0
318,20,141,42.9,714,41.4,687,43.1,715,70,706,28,335,84,950,30,291,65,605,81,925,50,558,2,3,2,3,2,1
319,5,53,30.9,1018,31.5,1042,35.3,1093,60,921,17,367,74,1209,17,239,49,670,65,1215,35,615,0,0,0,0,2,2
320,38,174,37.3,373,28.8,307,39.4,424,76,547,39,322,87,638,30,196,60,391,86,610,52,345,2,2,2,2,1,1
321,2,10,56.9,679,51.4,609,59.1,679,49,323,12,119,60,501,12,89,41,284,76,572,33,201,0,0,0,0,3,3
322,7,28,31.3,386,31.3,378,40.9,469,59,368,19,156,72,503,19,111,54,303,73,511,44,286,1,1,0,0,0,0
323,6,48,35.8,934,28.5,741,34.4,843,59,690,17,280,64,1024,13,189,43,602,77,1108,43,569,0,1,0,1,0,0
324,23,133,18.6,311,16.9,281,17.9,296,72,820,30,413,82,1016,25,276,61,661,79,1004,52,609,1,1,1,1,2,2
325,8,91,31.8,886,28.5,786,32.1,863,60,955,23,427,69,1242,23,362,52,810,78,1211,52,765,1,3,2,5,8,7
326,2,8,46.2,444,50.7,486,52.6,493,51,279,14,113,62,421,14,78,44,233,72,476,29,179,0,0,0,0,1,1
327,3,16,30.2,516,25.5,435,27.6,465,51,345,10,98,59,533,9,69,37,288,77,627,38,236,0,0,0,0,1,1
328,8,30,40.4,443,30.9,339,37,404,63,377,23,181,69,450,21,112,57,302,71,481,44,279,0,0,0,0,2,2
329,8,59,31.1,640,29.5,608,26.3,540,66,721,20,288,68,893,15,178,49,553,80,932,44,461,0,1,0,1,0,0
330,8,61,43.1,964,44.4,953,42.9,908,54,593,18,260,75,865,16,163,53,493,77,840,41,404,2,4,1,2,2,1
331,5,32,27.9,451,16.6,269,16.3,262,51,503,12,145,67,561,14,71,49,268,81,489,46,213,0,0,0,0,2,2
332,8,47,28.9,537,30.8,545,35.3,576,63,632,17,224,75,857,14,137,51,466,79,791,42,334,0,0,0,0,2,2
333,5,45,44.9,1365,45.9,1359,41.8,1204,60,977,20,418,75,1293,18,266,54,767,75,1271,43,646,1,3,0,1,2,1
334,5,19,2,15,0.4,3,1,7,49,41,7,8,66,65,7,6,42,33,77,94,20,23,0,0,0,0,1,1
335,19,196,20.5,693,19.9,662,21.2,665,69,1481,23,554,82,1659,17,302,57,1005,84,1433,48,766,1,2,1,3,,2
336,10,171,15.8,790,15.6,764,11.6,537,59,1540,15,480,71,2077,11,263,43,1005,81,1817,45,769,0,2,0,2,2,1
337,22,157,27,535,24,466,22.4,433,67,797,22,315,80,1010,18,189,56,563,81,935,47,485,0,1,1,2,2,2
338,12,122,11.3,250,10.4,231,10.8,188,51,632,9,150,61,835,6,60,35,310,79,681,30,146,1,2,0,1,2,2
339,29,241,23.8,403,9.7,152,13.2,161,50,682,6,118,71,870,6,50,37,219,74,454,29,104,1,2,1,1,1,0
340,29,1101,8.1,562,7.7,521,7.7,505,54,1590,15,539,71,3171,15,488,45,1314,80,2332,35,947,1,10,2,13,4,3
341,22,359,7.4,331,7.3,319,10.3,417,57,537,15,190,74,1386,14,212,45,613,79,1634,40,490,1,4,0,2,3,2
342,49,170,13.3,82,15.4,97,11.9,62,60,262,19,106,76,332,13,41,46,116,84,196,41,71,8,5,8,5,1,2
343,27,237,40.6,665,40.7,659,42.7,737,71,861,28,427,80,959,24,220,57,497,77,771,42,340,1,3,2,3,2,2
344,23,153,32.7,545,30.8,505,36.3,540,66,684,19,263,74,881,13,116,46,362,72,698,31,240,1,2,2,3,0,0
345,5,17,41.3,387,42.1,393,42.5,394,62,306,22,134,78,421,24,115,54,243,78,411,47,225,0,0,0,0,2,2
346,2,20,39.9,1149,40.7,1161,40.9,1150,51,656,14,246,63,1031,11,151,43,573,76,1096,38,427,0,0,0,0,1,0
347,6,14,42.8,370,39.1,338,50.6,334,59,233,18,98,65,290,18,71,48,187,71,341,33,146,1,1,2,2,0,0
348,8,96,46,1475,39.7,1270,42.1,1333,66,1218,26,608,79,1596,22,396,59,1023,77,1575,50,980,0,1,1,2,3,3
349,24,184,15,306,13.3,269,16.2,325,73,580,35,361,75,665,30,291,57,507,79,840,52,473,1,1,1,1,0,0
350,29,214,31.3,497,25.6,404,29,452,74,762,38,468,85,916,35,353,65,621,84,856,58,561,0,0,0,0,1,1
351,29,117,31.5,381,30.4,365,34.9,381,74,580,30,273,82,639,28,199,58,394,83,565,51,320,2,2,2,2,2,2
352,16,187,6.9,173,8,201,5.8,146,65,758,19,273,72,967,17,206,48,535,84,974,43,433,0,1,0,1,0,0
353,30,295,44.4,1161,40.9,1067,42.9,1094,75,1378,36,753,85,1572,31,532,64,1070,82,1534,52,912,1,3,1,2,2,2
354,15,150,14.4,258,14.5,260,15.8,282,61,551,14,178,72,761,15,129,44,335,76,695,36,296,0,0,0,0,2,2
355,12,122,6.6,139,7.6,161,7.9,167,52,351,12,111,67,610,9,69,48,318,82,609,36,247,0,0,0,0,0,0
356,30,570,9.5,459,10.3,497,10.9,522,66,2118,21,792,79,2537,20,558,56,1476,82,2371,47,1250,1,3,1,3,5,5
357,24,326,35.5,955,31,834,31.3,808,72,1255,29,615,82,1578,28,463,61,968,83,1439,49,746,0,0,0,0,2,2
358,36,531,22.5,800,24.2,776,26.7,846,69,1691,32,881,83,2028,33,641,65,1191,85,1601,54,1039,2,8,3,8,7,7
359,35,367,34.1,769,35.9,808,36.4,817,79,1375,38,736,86,1493,34,554,65,1024,86,1447,59,962,0,1,0,1,3,2
360,10,141,26.4,1164,21.5,946,28.2,1191,61,1458,17,504,70,1902,13,307,44,995,79,1809,47,937,0,0,0,0,2,1
361,9,36,65.4,987,73.1,833,66.5,747,51,561,14,183,62,691,10,74,36,233,70,471,32,155,1,2,1,2,3,2
362,1,14,40.8,1294,40,1272,40.1,1239,55,1014,18,469,68,1526,18,350,51,977,78,1751,42,840,0,0,0,0,2,2
363,1,11,54.1,1613,48.8,1448,46.9,1367,48,687,11,240,61,1044,13,195,40,564,75,1148,38,445,1,4,1,3,3,3
364,72,779,21.5,616,19.4,554,24.2,663,78,1582,47,1054,87,1707,50,910,71,1256,89,1696,66,1124,1,4,1,3,1,1
365,8,60,39,667,37.1,625,41.5,687,66,517,23,246,75,638,24,167,52,351,70,602,34,263,1,1,1,1,2,3
366,12,50,43.8,343,45.7,364,58.8,434,61,280,20,125,71,347,18,67,46,163,70,306,32,130,1,1,1,1,1,1
367,39,943,22.9,1276,23.7,1154,28.5,1274,70,2424,25,1090,80,2986,25,730,56,1496,78,2481,43,1161,1,7,1,6,4,3
368,9,104,40.6,1233,36.9,1121,40,1214,61,865,19,356,75,1284,16,234,50,675,72,1200,40,606,0,1,0,1,,0
369,2,8,54.1,619,57.1,583,55.8,708,46,261,11,100,61,444,10,63,36,238,75,576,37,235,0,0,0,0,1,1
370,2,25,38.5,1255,38.4,1236,33.7,1057,43,516,10,186,57,1001,9,131,34,483,72,1064,28,355,0,0,0,0,3,1
371,3,61,52.4,3191,49.2,2942,53.2,3067,57,1839,19,886,69,2738,21,713,52,1756,76,2970,43,1592,0,2,0,1,5,5
372,20,866,21.4,2541,21,2477,22.2,2601,68,4824,22,1920,81,6031,17,1130,56,3464,81,5675,46,3000,1,6,1,7,7,4
373,33,353,38,968,36,904,37.8,944,78,1394,41,850,86,1654,38,675,68,1165,85,1577,61,1122,1,2,0,1,6,6
374,3,36,69.9,1762,65,1616,67.5,1675,53,754,17,344,65,1177,18,277,50,738,77,1264,43,624,0,0,0,1,4,3
375,48,404,33.8,813,31.2,750,32.3,766,76,1500,41,913,86,1698,36,663,67,1197,86,1676,62,1148,1,2,1,2,3,3
376,8,111,31.8,1324,30.4,1213,34.4,1355,63,1451,19,578,77,1931,16,333,55,1099,74,1801,43,933,0,1,0,1,5,4
377,13,250,21.9,1246,23.4,1310,20.2,1111,66,2194,22,893,78,2835,17,527,56,1610,83,2564,50,1367,1,5,1,4,4,5
378,42,856,35.4,1558,35.3,1534,36.5,1545,75,2644,35,1424,86,2853,37,1037,65,1759,81,2524,51,1467,3,15,4,18,4,2
379,33,432,22.1,930,20.4,856,21.1,878,72,2123,28,981,83,2525,27,770,60,1621,85,2439,55,1510,0,0,0,0,3,2
380,39,706,32.5,1862,32.2,1845,31.1,1771,74,2870,31,1419,83,3277,29,1062,60,2123,83,3292,53,1984,1,8,1,7,3,3
381,21,356,26.4,966,27.5,849,28.9,887,65,1518,22,614,76,1865,17,348,51,920,77,1517,38,674,1,2,1,3,2,3
382,6,48,48.4,1468,44.1,1346,44,1326,51,910,11,342,56,1249,9,187,29,530,67,1183,24,393,1,2,1,2,7,8
383,8,129,33.2,1375,32.1,1313,32.3,1315,61,1061,23,489,64,1325,19,344,44,767,75,1387,43,692,0,1,0,0,1,1
384,29,404,11,400,8.7,317,8.6,269,56,2630,14,787,71,1966,12,191,40,536,78,866,34,382,2,10,2,8,3,4
385,2,29,56.6,2748,51.1,2460,59.1,2585,47,1192,11,392,57,1800,11,298,39,1000,72,1968,31,731,0,2,0,2,7,7
386,11,84,45.6,893,52.3,1023,59.7,1133,64,757,18,293,66,916,16,198,48,555,77,920,35,369,1,2,1,2,2,1
387,3,27,62.5,1436,61,1420,65.2,1487,50,721,14,298,57,1111,11,191,38,637,71,1189,36,527,0,1,0,1,3,2
388,16,123,50.8,1055,41.1,844,48.5,838,65,1325,19,513,71,1172,13,160,44,474,73,832,38,379,2,5,2,5,2,2
389,6,186,26.9,2537,27,2527,27.6,2436,56,1818,18,785,70,2756,19,627,50,1573,73,2497,42,1444,0,4,1,5,1,1
390,14,103,39.3,581,32.8,481,38.7,571,62,512,17,183,77,637,17,109,54,323,72,577,35,252,1,1,0,0,0,0
391,32,296,42.2,991,39.8,935,40,913,76,1350,38,780,78,1502,33,606,60,1068,84,1523,60,1047,2,4,2,4,2,1
392,51,1971,25,2535,21.1,2168,23.1,2321,78,4855,43,3005,84,5717,39,2361,66,3843,87,5306,60,3327,1,10,1,10,4,4
393,20,556,41,2264,37.7,2182,55.8,3302,66,2410,25,1104,78,3051,23,759,54,1674,75,2839,43,1451,1,5,1,4,3,3
394,13,188,36.7,1079,32.3,948,32.3,930,65,984,25,459,78,1267,23,307,54,693,79,1166,47,618,0,0,0,0,2,2
395,16,103,1,15,1.9,30,1.9,30,70,913,20,298,82,1000,15,150,61,582,79,862,51,531,0,1,0,0,,3
396,8,81,1.2,34,1,28,1.2,33,67,1043,10,176,81,1402,5,76,53,729,78,1234,44,667,0,1,0,1,,
397,9,82,0.2,3,0.2,3,1.2,19,48,470,5,56,69,725,4,33,41,243,76,483,28,159,0,0,0,0,,
398,13,49,1.9,13,0.5,3,1.5,9,65,355,13,80,79,442,9,40,55,212,84,332,45,136,4,3,4,3,,
399,15,150,0.4,9,0.6,12,0.9,18,61,779,11,170,78,1090,9,103,54,536,83,857,39,369,1,2,1,2,,
400,31,269,2.4,61,2.8,70,3.6,90,77,1355,27,532,84,1474,16,262,62,989,84,1548,55,982,1,2,0,0,,4
401,12,97,0.7,16,0.7,16,0.9,20,65,893,16,278,79,1149,11,141,56,688,78,1110,49,682,1,2,1,2,,1
402,13,76,1.5,23,1,15,0.9,15,75,709,22,242,85,920,13,128,62,583,83,918,54,599,0,0,0,0,,2
403,14,88,0.8,15,0.6,11,1.3,22,72,1023,17,270,83,1145,13,156,61,704,82,977,52,557,0,1,1,1,,
404,6,52,1.4,29,1.3,26,1.3,26,64,601,19,229,77,810,17,159,52,454,77,788,43,404,1,3,1,3,,
405,13,183,0.4,15,0.8,26,1.1,39,60,1188,10,233,79,1667,9,161,47,772,81,1486,39,640,1,4,1,4,,
406,14,107,1,21,0.4,9,2.1,42,72,1070,18,309,84,1459,13,202,66,940,79,1267,55,811,1,4,1,3,,
407,7,51,1.2,22,1.1,20,2.1,38,69,839,18,264,81,1015,15,168,57,601,80,953,49,551,0,0,1,1,,
408,14,153,0.7,18,0.8,21,1.2,33,73,1485,22,497,83,1657,19,335,66,1138,83,1612,55,974,0,0,0,0,,
409,29,301,1,29,1.3,36,1.4,38,71,1417,23,515,84,1673,21,386,66,1170,88,1597,60,1015,4,11,4,10,,
410,10,98,0.8,13,0.8,14,0.6,11,70,718,17,206,82,833,11,96,58,454,78,721,45,389,2,4,1,1,,
411,14,85,0.8,13,1,15,1.8,27,65,85,10,14,79,704,6,46,43,303,80,652,35,235,0,0,1,1,,
412,15,36,0.6,4,0.5,3,1.2,8,65,306,13,70,83,380,13,51,58,227,80,349,53,211,3,2,1,1,,
413,25,307,0.5,20,0.6,24,0.7,27,64,1466,16,419,82,1957,21,470,59,1207,85,1874,49,1002,0,0,0,0,,
416,9,76,0.4,6,0.6,9,1,16,51,382,5,51,68,606,5,34,37,209,79,484,27,159,1,1,1,1,,
417,19,126,0.4,9,0.5,10,0.9,18,62,771,11,149,73,886,14,150,47,496,81,865,40,372,1,3,1,2,,
418,25,288,0.4,13,0.5,16,0.8,25,65,1189,12,240,81,1570,13,227,54,890,84,1479,44,719,1,2,0,1,,
419,32,306,0.3,9,0.8,24,0.7,21,69,1422,18,403,84,1739,23,460,60,1162,86,1711,53,991,1,2,1,3,,
420,21,228,0.5,13,0.5,14,0.7,19,69,1203,16,315,82,1482,19,304,59,909,86,1391,52,790,0,1,0,1,,
