NPA,m50_2013,r50_2013,m52_2016,r52_2016,m52_2015,r52_2015,m52_2013,r52_2013,m48_2018,r48_2018,m48_2017,r48_2017,m48_2016,r48_2016,m48_2015,r48_2015,m48_2014,r48_2014,m48_2012,r48_2012,m48_2010,r48_2010,m72_2018,r72_2018,m72_2017,r72_2017,r73_2015,r73_2014
NPA,Arts_Participation_2013,Arts_Participating_Households_2013,311_Requests_2016,311_Calls_2016,311_Requests_2015,311_Calls_2015,311_Requests_2013,311_Calls_2013,Voter_Participation_2018,Voters_Participating_2018,Voter_Participation_2017,Voters_Participating_2017,Voter_Participation_2016,Voters_Participating_2016,Voter_Participation_2015,Voters_Participating_2015,Voter_Participation_2014,Voters_Participating_2014,Voter_Participation_2012,Voters_Participating_2012,Voter_Participation_2010,Voters_Participating_2010,Board_Committee_Participation_2018,Board_Committee_Participants_2018,Board_Committee_Participation_2017,Board_Committee_Participants_2017,Neighborhood_Organizations_2015,Neighborhood_Organizations_2014
180,5,24,36.4,548,35,506,41.5,539,52,353,14,123,72,499,16,89,50,252,72,443,38,214,0,0,0,0,2,2
181,26,314,29.5,849,28.9,827,28.2,788,73,1442,28,662,81,1676,26,468,61,1032,82,1526,55,923,1,3,1,3,1,1
182,7,18,65.4,515,53.7,418,52.8,411,61,290,19,128,68,394,19,98,51,269,73,447,40,217,0,0,0,0,2,2
183,4,12,27.1,234,25.1,218,27.2,231,56,198,17,84,68,284,18,60,53,168,76,287,42,144,0,0,0,0,1,1
184,34,226,38,521,33.8,462,44.7,599,75,762,33,382,84,915,26,238,59,508,88,843,42,385,5,7,6,8,0,0
185,3,40,4.2,128,5,151,3.8,111,45,347,5,57,53,465,5,33,33,205,78,540,23,157,0,0,0,0,0,0
186,6,49,36.7,918,36.8,909,38.5,932,61,678,18,244,69,927,13,160,47,545,76,919,40,455,0,1,0,1,1,1
187,28,115,15.4,155,21.2,213,19.8,199,65,406,19,159,77,544,20,122,54,316,79,518,46,293,0,0,0,0,3,3
188,17,123,16.3,282,12.2,209,16,270,63,661,16,205,75,790,14,121,46,367,78,712,37,310,2,3,2,3,2,2
189,12,56,6.9,71,2.8,29,4,41,51,216,12,66,61,299,10,41,43,142,80,275,32,110,0,0,0,0,0,0
190,2,9,50.5,530,50.3,526,56.1,581,50,203,8,52,65,357,7,30,44,185,72,374,34,149,0,0,0,0,1,1
191,12,112,24.1,569,24.4,575,23.6,552,63,825,18,312,75,1126,16,213,52,652,77,1106,40,542,0,1,0,1,6,5
192,9,78,31.4,811,25.5,610,21,463,66,672,17,230,77,1327,14,171,52,595,76,899,41,385,1,2,1,3,3,3
193,35,197,27.6,367,25,333,24.8,330,72,670,39,387,85,761,36,299,60,474,87,739,56,457,0,0,0,0,3,2
194,37,374,22.4,674,22.1,660,19.7,584,71,1190,27,518,80,1546,23,415,60,1012,84,1523,52,905,1,2,1,3,,2
195,14,117,17.4,363,15.8,329,16.9,353,58,906,16,297,77,1238,14,158,51,538,81,965,45,444,0,0,1,2,2,2
196,5,39,30,670,29.1,639,27.2,588,57,646,16,229,72,886,12,119,50,482,78,826,42,383,1,3,1,3,1,1
197,5,52,22.3,581,21.6,559,20.7,526,59,585,17,228,68,806,18,175,50,464,76,817,43,408,0,0,0,0,0,0
198,22,174,24.1,398,23.3,384,24.1,386,65,781,24,353,80,856,29,269,61,542,79,798,52,487,2,4,2,3,3,3
199,1,16,21.4,666,21,653,18.9,535,43,532,9,149,57,861,7,88,32,384,79,925,29,270,0,1,0,1,2,1
200,5,10,15.6,95,17.4,105,10.2,58,43,170,7,42,64,275,6,16,31,77,60,196,24,41,1,1,2,2,0,0
201,30,349,21.8,634,19.4,568,18.5,537,72,1463,30,698,83,1699,27,480,60,1048,86,1619,52,932,0,1,0,1,2,2
202,4,28,27.8,657,24.3,569,27,613,55,431,12,140,63,579,14,112,42,313,73,626,34,261,0,0,0,0,2,2
203,11,71,29.5,569,24.9,466,21.7,394,62,762,20,291,78,894,14,128,53,445,76,703,47,399,0,1,1,1,1,1
204,22,139,24.3,338,18.4,255,14.8,205,66,609,21,228,79,756,18,141,53,403,86,707,47,292,0,0,0,0,0,0
205,46,141,26.9,258,31.1,293,28.5,267,80,565,37,292,79,592,33,231,59,402,83,553,63,400,0,0,0,0,2,2
206,20,113,16.1,218,18.9,255,16.3,220,71,461,27,203,77,556,20,140,52,334,87,584,52,306,0,0,0,0,0,0
207,7,86,3.9,100,3.2,83,5,106,50,732,8,160,72,1120,6,64,41,340,84,668,30,140,1,3,1,2,0,0
208,56,393,31.9,616,26.5,511,28.5,587,78,1179,45,722,86,1274,43,589,69,919,88,1206,64,810,1,3,1,3,3,3
209,9,98,18.9,764,24.6,787,27.8,813,59,1266,15,402,77,1766,12,210,52,836,80,1329,43,621,1,3,1,3,1,1
