NPA,m33_2018,m33_moe_2018,m33_2017,m33_moe_2017,m34_2018,m34_2017,m34_2016,m34_2015,m34_2013,m34_2011,m35_2018,m35_2017,m35_2016,m35_2015,m35_2013,m35_2011,m70_2015,r70_2015,m36_2018,r36_2018,m36_2017,r36_2017,m36_2016,r36_2016,m36_2015,r36_2015,m36_2013,r36_2013,m36_2011,r36_2011,m44_2015,r44_2015,m44_2014,r44_2014,m44_2013,r44_2013
NPA,Long_Commute_2018,Long_Commute_moe_2018,Long_Commute_2017,Long_Commute_moe_2017,Bicycle_Friendliness_2018,Bicycle_Friendliness_2017,Bicycle_Friendliness_2016,Bicycle_Friendliness_2015,Bicycle_Friendliness_2013,Bicycle_Friendliness_2011,Street_Connectivity_2018,Street_Connectivity_2017,Street_Connectivity_2016,Street_Connectivity_2015,Street_Connectivity_2013,Street_Connectivity_2011,Sidewalk_Availability_2015,Sidewalk_Miles_2015,Transit_Proximity_2018,Transit_Proximate_Units_2018,Transit_Proximity_2017,Transit_Proximate_Units_2017,Transit_Proximity_2016,Transit_Proximate_Units_2016,Transit_Proximity_2015,Transit_Proximate_Units_2015,Transit_Proximity_2013,Transit_Proximate_Units_2013,Transit_Proximity_2011,Transit_Proximate_Units_2011,Transit_Ridership_2015,Transit_Ridership_Total_2015,Transit_Ridership_2014,Transit_Ridership_Total_2014,Transit_Ridership_2013,Transit_Ridership_Total_2013
330,85,14,84,8,1.4,1.4,1.4,1.4,1.4,1.4,1.03,1.03,1.03,1.03,1.04,1.04,40.4,3.9,33.12,255,33.2,256,33.33,257,5.11,38,5.14,38,5.13,38,,,,,,
331,44,21,45,25,1.5,1.5,1.4,1.4,1.4,1.3,1.3,1.29,1.25,1.24,1.24,1.23,23.1,5.5,96.72,885,95.63,679,95.69,666,95.55,665,95.55,665,95.69,666,179,2504,195,2334,224,2236
332,71,6,72,9,1.7,1.7,1.7,1.5,1.5,1.2,1.15,1.15,1.15,1.15,1.17,1.19,36.1,3.4,68.02,487,67.97,486,67.46,481,66.32,449,65.43,424,63.29,381,14,56,19,76,15,60
333,55,9,45,7,1.6,1.6,1.5,1.6,1.5,1.6,1.15,1.15,1.15,1.16,1.16,1.17,40.2,5.6,10.95,123,11.56,123,11.51,122,11.38,118,11.49,118,11.64,119,,,,,,
334,53,29,48,22,2.5,2.5,2.5,2.5,2.1,1.2,1.24,1.24,1.23,1.23,1.23,1.23,,,100,356,100,356,100,356,100,356,100,356,100,360,32,225,40,364,45,315
335,67,10,70,9,1.4,1.4,1.3,1.4,1.5,1.5,1.12,1.12,1.12,1.12,1.19,1.24,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
336,71,8,70,8,1.4,1.4,1.3,1.3,1.4,1.4,1.23,1.23,1.22,1.23,1.31,1.3,34.1,9.0,0,0,0,0,0,0,0,0,45.37,818,43.59,711,,,4,4,0,0
337,84,14,83,17,1.2,1.2,1.1,1.2,1.2,1.2,1.14,1.14,1.14,1.14,1.2,1.19,60.8,7.3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
338,38,10,38,7,1.5,1.5,1.5,1.5,1.8,1.5,1.27,1.27,1.29,1.29,1.33,1.33,76.0,3.3,100,1290,100,1295,100,1334,100,1334,100,1053,100,1053,71,641,73,654,89,805
339,31,8,35,9,1.5,1.5,1.5,1.5,1.6,1.5,1.38,1.38,1.38,1.39,1.47,1.46,55.3,5.9,100,1341,100,1341,100,1186,100,1099,100,954,100,889,265,2920,159,2863,163,2603
