NPA,r1_2015,r1_2013,m47_2018,r47_2018,m47_2017,r47_2017,m47_2016,r47_2016,m47_2015,r47_2015,m47_2013,r47_2013,m47_2010,r47_2010,m47_2000,r47_2000,m2_2018,m2_moe_2018,m2_2017,m2_moe_2017,m12_2018,m12_moe_2018,m12_2017,m12_moe_2017,m13_2018,m13_moe_2018,m13_2017,m13_moe_2017,m14_2018,m14_moe_2018,m14_2017,m14_moe_2017,m14_2010,m14_2000,m15_2018,m15_moe_2018,m15_2017,m15_moe_2017,m15_2010,m15_2000,m16_2018,m16_moe_2018,m16_2017,m16_moe_2017,m16_2010,m16_2000,m17_2018,m17_moe_2018,m17_2017,m17_moe_2017,m17_2010,m17_2000,m18_2018,m18_moe_2018,m18_2017,m18_moe_2017,m18_2010,m18_2000,m11_2018,r11_2018,m11_2017,r11_2017,m11_2016,r11_2016,m11_2015,r11_2015,m11_2013,r11_2013,m11_2011,r11_2011
NPA,Area,Area,Population_Density_2018,Population _2018,Population_Density_2017,Population _2017,Population_Density_2016,Population _2016,Population_Density_2015,Population _2015,Population_Density_2013,Population _2013,Population_Density_2010,Population_2010,Population_Density_2000,Population _2000,Age_of_Residents_2018,Age_of_Residents_moe_2018,Age_of_Residents_2017,Age_of_Residents_moe_2017,Youth_Population_2018,Youth_Population_moe_2018,Youth_Population_2017,Youth_Population_moe_2017,Older_Adult_Population_2018,Older_Adult_Population_moe_2018,Older_Adult_Population_2017,Older_Adult_Population_moe_2017,White_Population_2018,White_Population_moe_2018,White_Population_2017,White_Population_moe_2017,White_Population_2010,White_Population_2000,Black_Population_2018,Black_Population_moe_2018,Black_Population_2017,Black_Population_moe_2017,Black_Population_2010,Black_Population_2000,Asian_Population_2018,Asian_Population_moe_2018,Asian_Population_2017,Asian_Population_moe_2017,Asian_Population_2010,Asian_Population_2000,All_Other_Races_2018,All_Other_Races_moe_2018,All_Other_Races_2017,All_Other_Races_moe_2017,All_Other_Races_2010,All_Other_Races_2000,Hispanic_Latino_2018,Hispanic_Latino_moe_2018,Hispanic_Latino_2017,Hispanic_Latino_moe_2017,Hispanic_Latino_2010,Hispanic_Latino_2000,Vacant_Land_2018,Vacant_Land_Area_2018,Vacant_Land_2017,Vacant_Land_Area_2017,Vacant_Land_2016,Vacant_Land_Area_2016,Vacant_Land_2015,Vacant_Land_Area_2015,Vacant_Land_2013,Vacant_Land_Area_2013,Vacant_Land_2011,Vacant_Land_Area_2011
159,489,489,2,1184,2,1184,2,1113,2,1086,2,1035,2,909,1,674,28,8,25,12,31,9,35,8,13,6,10,8,5,7,7,11,2.5,3.6,77,8,79,#NUM!,91.2,93.3,4,2,2,3,1.4,0.2,0,3,10,12,2.3,1,1,2,1,2,2.5,1.9,28.5,139,28.5,139,28.5,139,28.5,139,28.5,139,28.5,139
160,776,776,4,2910,4,2910,4,2905,4,2901,4,2868,3,2707,3,2595,42,4,41,4,22,6,21,5,16,4,15,4,8,5,10,6,6.3,12.7,81,8,71,9,81.4,82,0,2,1,3,2.2,2.2,0,2,1,4,1.8,1.2,8,5,18,9,8.3,1.9,7,54,7,54,7,54,7,54,7,54,7,54
161,294,294,9,2761,9,2702,9,2683,9,2657,9,2627,9,2548,8,2379,31,5,28,3,33,4,22,9,6,4,8,4,25,8,51,9,34.5,62,65,14,37,17,45.3,20.1,0,2,0,1,1.6,3.4,1,2,3,7,4.5,3,5,6,9,6,14.1,11.5,2.9,9,2.9,9,2.9,9,2.9,9,2.9,9,2.9,9
162,368,368,5,1968,5,1953,5,1947,5,1940,5,1911,5,1822,4,1652,35,4,33,4,25,5,29,5,7,3,6,3,28,13,23,11,21.5,45.6,51,11,48,7,53,46.6,4,2,5,6,1,1.4,0,2,9,9,4.1,2.5,12,10,14,11,20.4,3.9,4.9,18,4.9,18,4.9,18,3.9,14,3.9,14,3.9,14
163,174,174,9,1486,5,901,5,892,5,902,5,860,5,818,5,922,34,3,34,5,16,5,16,5,7,5,8,4,51,10,51,10,56.4,38.9,33,10,30,8,37.2,55.6,8,3,10,9,2.6,2.3,0,3,4,7,1.7,2.4,3,3,5,4,2.2,0.8,11.7,20,11.7,20,11.7,20,11.7,20,12.3,21,13.2,23
164,642,642,7,4532,7,4782,7,4798,7,4668,8,4812,6,3664,6,3847,29,,30,,27,3,23,5,6,2,6,2,21,5,23,6,17.9,32.5,29,13,25,9,29,41.4,11,2,13,7,2.2,3,1,1,7,7,2.6,4,32,9,33,11,48.3,19.1,1.5,10,1.5,10,1.5,10,1.5,10,1.5,10,1.4,9
165,181,181,14,2466,14,2467,14,2457,14,2463,13,2421,11,1991,9,1647,31,7,30,6,22,7,20,7,4,3,5,3,6,6,7,6,5.3,24.1,56,22,51,25,55.5,56.9,2,2,1,2,4.2,2.8,0,2,2,4,3.3,2.9,33,12,39,9,31.7,13.3,11.9,21,11.9,21,11.8,21,11.8,21,11.8,21,11.8,21
166,151,151,8,1273,8,1273,8,1263,8,1268,8,1244,6,946,5,733,38,28,25,30,40,6,44,35,5,7,5,5,17,8,18,10,11.9,34.4,83,33,67,36,69.3,56.4,0,4,0,2,2.5,1.6,0,4,0,6,1.5,3.3,0,1,15,17,14.7,4.4,12.4,19,12.4,19,12.3,19,12.3,19,12.3,19,12.3,19
167,184,184,4,815,4,807,4,807,4,808,4,794,4,765,3,569,27,2,28,3,26,10,28,10,1,6,1,3,3,4,12,10,9.9,32.5,84,19,76,16,58.3,54.8,4,3,0,1,4.3,2.3,0,4,5,12,3.4,3.1,3,3,7,8,24.1,7.2,33.9,62,33.9,62,33.9,62,33.9,62,33.9,62,33.9,62
168,228,228,7,1619,7,1612,7,1611,7,1590,7,1570,6,1430,7,1560,46,13,40,11,16,7,19,8,18,5,18,5,26,9,30,9,19.9,34.8,48,10,37,9,54.7,52.1,2,3,2,3,5.7,4,0,3,2,5,2.9,3.3,23,14,29,17,16.8,5.8,0.5,1,0.5,1,0.5,1,0.5,1,0.5,1,0.5,1
169,245,245,11,2795,11,2598,10,2374,9,2191,9,2114,8,1972,0,106,36,5,38,4,30,6,29,7,6,3,5,3,57,10,58,12,56.2,91.5,5,5,4,4,12.2,4.7,29,4,29,9,18.9,0.9,0,2,7,8,3.5,1.9,1,2,2,2,9.2,0.9,5.2,13,5.2,13,5.2,13,5.2,13,8.2,20,8.2,20
170,475,475,4,1850,4,1830,4,1830,4,1833,4,1827,4,1722,2,734,44,6,44,4,27,6,28,6,7,3,10,3,71,4,80,6,77.1,83.3,7,6,5,5,6.4,3.9,14,0,7,7,9.9,7.3,0,3,2,4,1.7,1.2,6,6,5,4,4.9,4.3,10.5,50,10.5,50,10.5,50,10.5,50,10.9,52,10.9,52
171,286,286,4,1146,4,1146,3,999,3,899,3,911,3,853,3,755,46,19,42,11,10,6,10,6,23,7,15,6,56,11,54,12,68.8,85.3,16,11,17,14,12.7,3.4,14,2,21,13,9,7.3,1,3,1,6,1.9,0.5,3,4,7,11,7.6,3.4,1.5,4,1.5,4,1.5,4,1.5,4,1.5,4,3.8,11
172,942,942,3,3083,3,3067,3,3070,3,3062,3,2932,3,2538,0,24,36,2,35,2,37,5,39,6,5,2,3,2,41,9,42,7,59.1,12.8,9,4,11,5,9.2,87.5,32,4,35,7,22.2,0,0,2,8,6,1.8,0,10,9,4,3,7.7,0,4.5,43,4.4,41,4.4,41,4.5,43,5.5,52,5.5,52
173,380,380,3,1227,3,1223,3,1199,3,1147,3,1074,3,952,1,421,30,8,28,6,36,8,37,7,10,6,5,4,12,10,20,15,9.5,33.3,65,16,62,16,73.5,58.2,0,3,0,1,4.5,3.1,0,3,2,5,3.6,2.9,22,12,17,11,8.9,2.6,22.8,87,22.8,87,22.8,87,22.8,87,22.8,87,22.8,87
174,3178,3179,1,1705,1,1722,1,1723,1,1723,1,1732,1,1584,0,675,43,6,41,6,15,8,17,6,16,7,15,7,46,12,55,13,43,84.2,33,12,26,11,25.1,6.5,7,2,6,9,7.5,6.5,0,2,2,4,3.2,1,13,13,11,9,21.2,1.8,48.7,1547,48.6,1545,48.6,1545,48.7,1547,49.7,1578,49.7,1578
175,521,521,4,1840,4,1826,4,1827,4,1830,3,1813,3,1741,4,1886,48,3,48,8,22,5,20,5,16,3,15,4,82,7,86,7,89.4,92.4,8,8,7,6,2.9,2.6,1,2,2,2,2,2,0,2,1,4,1.4,0.9,8,7,5,3,4.4,2,3.9,21,3.9,21,3.9,21,3.9,21,3.9,21,3.9,20
176,469,469,6,3038,6,3033,6,3035,6,3033,6,3033,6,2961,3,1228,43,3,41,3,27,6,29,6,16,5,11,4,78,9,71,8,73.3,90.1,5,5,7,5,6,3.4,12,0,16,7,12.3,2.8,1,2,2,3,2.9,1.1,3,3,5,3,5.6,2.6,2.1,10,2.1,10,2.1,10,2.1,10,2.1,10,2.1,10
177,507,507,4,2185,4,1888,4,1881,4,1870,4,1849,4,1979,4,1917,54,14,54,14,16,7,14,7,32,7,30,7,85,4,86,7,89.5,93.7,4,5,3,4,3,1,4,2,4,6,2.6,2.7,0,3,2,4,2.1,1.5,5,8,5,8,2.7,1.3,1.5,7,1.5,7,1.5,7,1.5,7,1.5,7,1.5,7
178,2025,2022,1,2841,1,2736,1,2733,1,2431,1,2114,1,1824,0,672,28,1,28,1,17,5,12,3,3,2,2,1,26,6,25,7,29,67.7,17,6,22,8,19.1,14.7,42,4,46,8,42.1,6.6,0,2,3,3,2.6,2.4,14,10,4,4,7.2,8.6,16.9,343,16.9,343,16.9,343,17,343,17,343,17,343
179,502,502,4,1893,3,1596,3,1601,3,1621,3,1613,3,1581,3,1667,45,12,44,12,26,10,27,10,24,4,24,5,87,5,87,6,92.9,91.7,13,13,12,12,2.5,5.3,0,2,0,1,1.7,1.7,0,2,0,3,1.4,0.5,0,1,1,1,1.5,0.8,3.9,19,3.9,19,3.9,19,3.9,19,3.9,19,3.9,19
180,299,299,5,1540,5,1538,5,1507,5,1446,4,1300,4,1220,3,912,30,6,37,11,34,8,29,8,6,4,7,4,30,11,24,12,29,61.7,37,22,37,22,32.2,27.4,0,3,1,1,5,3.7,0,3,0,3,2.2,1.8,33,13,38,15,31.6,5.5,12.4,37,12.4,37,12.4,37,12.4,37,12.4,37,12.4,37
181,1021,1021,3,2885,3,2883,3,2876,3,2865,3,2790,2,2516,3,2551,41,4,43,5,26,5,21,4,18,3,16,4,72,9,78,8,83.8,88.3,4,3,3,3,6.6,4.3,10,1,8,4,3.1,2.9,0,2,3,4,1.8,1.1,11,7,8,7,4.7,3.4,2.7,28,2.7,28,2.7,28,2.7,28,2.7,28,2.7,28
182,218,218,4,791,4,791,4,788,4,779,4,779,3,737,4,894,53,5,53,4,18,10,11,4,24,8,23,7,6,8,3,4,1.6,0.1,92,9,93,6,95.5,99.3,0,4,0,2,0.8,0,0,4,4,10,0.9,0.5,1,1,1,1,1.1,0.1,5.9,13,5.9,13,5.9,13,5.9,13,5.9,13,5.9,13
183,223,223,4,872,4,873,4,865,4,869,4,848,4,805,3,633,24,4,23,20,39,14,48,46,5,5,4,4,6,5,4,5,16.4,32.5,53,24,47,27,55.2,51.9,0,3,0,2,1.6,3.8,0,3,0,6,4.1,2.6,41,38,49,43,22.7,9.2,19.3,43,19.3,43,19.3,43,19.3,43,19.3,43,19.3,43
184,234,234,6,1371,6,1365,6,1370,6,1369,6,1341,5,1263,6,1358,34,2,32,2,26,7,25,7,6,3,4,2,92,7,88,7,90.3,82,1,2,1,1,3.9,11.3,1,2,1,1,1.1,1.4,1,2,6,8,2,3.2,3,3,4,3,2.8,2.1,1.8,4,1.8,4,1.8,4,1.8,4,1.8,4,1.8,4
185,131,131,24,3082,24,3074,23,3066,23,3002,23,2951,21,2748,17,2187,28,1,28,1,23,6,22,5,1,2,2,2,11,4,14,4,13.5,54.4,47,12,40,11,35,23.3,6,2,5,4,1.6,5.4,0,2,3,5,2.3,2.6,32,9,38,9,47.6,14.2,6.9,9,6.9,9,6.9,9,6.9,9,6.9,9,6.9,9
186,635,635,4,2509,4,2512,4,2500,4,2472,4,2421,4,2356,3,2034,34,2,35,2,25,5,26,5,9,3,7,3,26,5,27,6,29.8,51.3,36,8,36,7,40.8,35.1,7,2,9,6,3.1,4.5,0,2,5,6,2.8,3,26,5,23,4,23.5,6.2,8.8,56,8.8,56,8.8,56,8.8,56,8.8,56,8.8,56
187,158,157,6,1004,6,1004,6,1004,6,1004,6,1004,6,959,3,533,43,6,44,6,28,9,26,10,15,8,12,8,70,6,65,7,70.9,82.4,21,19,24,22,8.4,4.9,2,3,1,2,10.1,8.3,0,3,0,4,3.3,1.7,7,8,9,11,7.2,2.8,0.9,1,0.9,1,0.9,1,0.9,1,0.9,1,8.2,13
188,363,363,5,1822,5,1720,5,1728,5,1720,5,1687,4,1494,1,540,31,3,30,2,31,6,32,7,2,4,5,4,72,7,68,12,66.6,85.6,4,6,5,6,10.1,5.6,7,2,13,8,13.1,5.4,0,2,1,4,2.6,2.8,16,9,13,8,7.6,0.7,9,33,9,33,9,32,9,32,9,32,9.1,33
189,82,82,12,1024,12,1024,12,1024,12,1024,12,1024,12,956,11,898,39,8,30,11,13,10,39,7,6,9,1,3,70,24,64,20,56.4,83.1,3,4,8,8,19.5,5.8,20,6,11,9,8.2,4.5,0,4,0,4,3,2.1,8,7,17,23,13,4.6,0,0,0,0,0,0,0,0,0,0,0,0
190,665,665,2,1063,2,1042,2,1049,2,1045,2,1036,1,915,1,561,31,7,36,12,26,3,26,7,7,5,10,7,9,7,9,9,22.6,44.4,70,24,51,23,62.5,46,11,4,27,25,3.1,3.6,0,3,14,23,3.5,3.4,0,1,0,1,8.3,2.7,11.8,78,11.8,78,11.8,78,11.8,78,11.8,78,11.8,78
191,425,425,6,2381,6,2374,6,2360,6,2354,6,2335,5,2273,5,2059,32,5,36,3,22,6,18,5,5,2,8,3,41,11,42,8,52.7,72.8,32,12,38,10,35.3,21.3,3,2,4,4,2.2,2.2,0,2,2,3,2.8,1,21,13,14,10,7,2.7,10,43,10,43,10,43,10,43,10,43,10,43
192,1390,1390,2,3015,2,2784,2,2585,2,2390,2,2209,1,1820,1,831,35,1,33,3,26,5,30,7,7,2,5,2,14,3,11,3,26.9,60.5,64,5,65,5,50.2,31.2,6,2,4,3,6.9,4.8,0,2,1,2,2.6,0.6,14,5,19,8,13.4,2.9,23.8,331,23.8,331,23.8,331,23.8,331,23.8,331,23.8,331
193,305,305,4,1339,4,1328,4,1329,4,1331,4,1329,4,1209,4,1113,45,7,39,8,25,10,27,9,15,7,14,6,93,11,88,30,81.4,92.5,0,1,0,1,11,3.7,0,3,4,5,2.4,1.8,0,3,0,4,1.7,1.1,7,14,8,12,3.5,0.9,1.4,4,1.4,4,1.4,4,1.4,4,1.4,4,1.4,4
194,736,736,4,3246,4,3092,4,3012,4,2985,4,2970,4,2810,3,2309,38,3,40,2,33,5,31,4,8,2,9,2,78,8,75,5,83.9,89.7,6,5,9,6,4.8,4.5,8,2,10,5,5.7,3.6,0,2,2,3,2,0.5,6,4,4,3,3.7,1.8,3.9,29,3.9,29,3.9,29,3.9,29,3.9,29,3.9,29
195,1087,1117,3,2957,3,2957,2,2085,2,2080,2,2090,2,2120,0,210,35,3,34,3,24,7,25,6,7,2,6,2,29,7,35,7,48.8,86.4,41,10,36,9,31.3,10,12,1,14,2,7.8,2.4,0,2,3,5,2.7,0.6,15,9,11,6,9.3,0.6,44.5,483,44.5,483,44.5,483,43.3,483,45.9,512,49.1,549
196,965,965,2,2248,2,2258,2,2233,2,2195,2,2162,2,1961,0,401,33,8,30,7,30,7,33,7,8,5,4,3,17,9,11,5,16.2,84,68,17,66,14,65.4,10.3,0,2,0,0,1.6,0.4,0,2,6,7,1.9,2.8,8,6,16,6,14.9,2.6,12.5,121,12.5,121,12.6,121,12.6,121,12.6,121,12.6,121
197,318,318,8,2615,8,2596,8,2604,8,2593,8,2547,8,2403,6,1877,36,4,34,4,27,6,25,5,11,3,10,3,15,4,15,5,20.1,44.7,32,8,34,8,38.2,44.8,11,1,14,7,3.6,3,0,2,3,5,3,2.1,37,7,35,7,35.1,5.4,6.8,22,6.8,22,6.8,22,6.8,22,6.8,22,6.8,22
198,319,319,5,1614,5,1573,5,1650,5,1645,5,1604,4,1328,4,1328,51,11,48,13,27,11,26,9,35,8,29,8,92,12,94,33,83.3,84.9,8,9,5,5,12,12.9,0,3,0,1,1.2,0.8,0,3,0,4,0.8,0.5,1,1,1,1,2.7,1,7.1,23,7.1,23,7.1,23,7.1,23,7.1,23,7.1,23
199,384,384,8,3210,8,3195,8,3116,8,3117,7,2838,7,2742,5,2054,27,6,25,7,39,7,41,9,4,3,6,3,3,2,4,5,6.6,11.3,40,10,48,11,59,59.8,0,2,1,2,1.6,2.9,0,2,8,9,2,2.2,49,17,39,16,30.8,23.9,13.3,51,13.3,51,13.3,51,13.3,51,13.3,51,13.3,51
200,90,90,12,1107,12,1098,7,611,7,604,6,569,7,588,9,791,21,9,21,7,46,7,46,7,1,5,1,4,5,5,10,9,4.4,6.1,82,9,79,17,89.3,91.9,1,3,1,2,0.3,0.4,5,3,8,14,2.6,1.4,2,2,1,2,3.4,0.3,5,5,5,5,5.1,5,5.1,5,5.1,5,4.5,4
201,823,819,4,2975,4,2929,4,2912,4,2922,4,2905,3,2716,2,1999,50,6,47,9,21,8,24,8,17,5,16,5,87,7,86,7,82,84.3,4,4,6,5,4.5,3.9,3,2,3,3,6.5,6.9,0,2,0,2,2.6,1.9,5,5,5,5,4.5,3.1,3.4,28,3.4,28,3.4,28,3.5,29,3.5,29,3.5,29
202,255,255,9,2365,9,2361,9,2362,9,2342,9,2274,9,2212,8,1922,26,5,25,4,33,7,37,6,4,2,3,2,6,3,6,3,14.1,33.2,34,12,38,16,42.5,43.4,8,1,9,7,6,6.8,0,2,4,5,2.1,2,49,15,43,13,35.3,14.6,1.8,5,1.8,5,1.8,5,1.8,5,1.8,5,1.8,5
203,521,521,4,2176,4,2002,4,1931,4,1869,3,1819,3,1612,1,431,36,3,38,6,34,7,34,7,10,4,8,4,39,10,47,11,43.9,95.1,40,12,32,13,28.2,1.4,3,2,2,4,4,1.8,0,2,2,5,1.9,0.9,17,9,17,8,22,0.7,36.8,192,36.8,192,36.8,192,36.8,192,36.8,192,36.8,192
204,250,250,6,1508,6,1447,6,1390,6,1390,6,1390,5,1332,3,667,40,5,39,4,28,7,26,7,13,4,11,4,59,9,69,10,79.5,83.3,10,7,11,8,5.5,3.4,8,2,1,2,5.4,8.4,1,2,2,5,2,1.1,22,11,16,10,7.7,3.8,13,33,13,33,13,32,13,32,18.9,47,18.9,47
205,353,353,3,982,3,967,3,958,3,942,3,936,3,882,2,738,41,8,49,9,34,8,27,9,12,5,11,6,97,9,96,9,89.3,89.2,3,4,4,6,3.9,3.9,0,3,1,1,3.7,3.7,0,3,0,6,1.4,1.3,0,1,0,1,1.7,2,28.6,101,28.6,101,28.6,101,28.6,101,28.6,101,28.6,101
206,136,136,10,1350,10,1350,10,1353,10,1353,10,1353,10,1297,9,1197,34,2,33,1,34,5,34,6,5,3,5,3,50,9,68,4,79.9,88.1,4,4,3,4,4.2,3.3,35,6,12,7,8.9,4.3,0,3,7,10,1.8,1.6,8,8,9,11,5.2,2.7,0.2,0,0.2,0,0.2,0,0.2,0,0.2,0,0.2,0
207,507,508,6,3189,6,3131,5,2548,5,2573,4,2134,3,1617,0,17,28,4,29,3,29,10,22,11,0,2,2,2,30,12,40,14,46.1,72.5,55,21,40,9,34.4,23.5,3,2,5,5,7.7,0,0,2,5,6,3,5.9,9,8,10,11,8.8,0,12.9,66,12.9,66,12.9,66,12.9,66,12.9,66,17.5,89
208,512,512,4,2159,4,2111,4,1933,4,1928,4,2059,4,1885,3,1720,43,3,45,2,32,6,30,5,10,3,10,3,94,4,93,4,94.1,98.4,0,0,0,0,1.1,0.2,2,2,1,1,1.3,0.2,0,2,4,5,1.4,0.3,0,1,2,2,2.1,0.9,1.7,9,1.7,9,1.7,9,2.5,13,2.5,13,2.5,13
209,838,838,5,4244,5,4169,5,4035,4,3204,3,2924,3,2707,1,1142,35,4,35,5,21,6,24,6,7,3,7,3,25,8,20,7,26,51.9,52,12,58,11,50.3,42.2,1,2,2,3,4.5,2.9,0,2,6,7,2.8,1.4,12,8,14,10,16.4,1.6,20.9,175,20.2,169,20.2,169,20.9,175,23.6,197,23.6,197
210,174,174,13,2256,13,2236,13,2222,11,1876,11,1866,8,1441,7,1215,41,6,35,6,12,7,14,8,19,6,16,5,75,8,71,8,81.7,80.2,15,13,19,13,6.8,12.3,1,2,2,2,5.6,4.5,0,2,5,6,1.9,1,2,2,3,3,4,2.1,10.6,18,10.6,18,10.6,18,12,21,14.9,26,14.9,26
211,551,551,5,2599,5,2599,5,2601,5,2545,5,2516,4,2380,2,894,34,6,36,5,29,6,28,6,7,3,5,3,18,5,14,4,22.4,64.5,63,12,68,12,62.8,30.2,4,2,6,5,2.9,2.6,0,2,9,8,3.2,0.5,11,4,4,5,8.7,2.2,6.9,38,6.9,38,6.9,38,6.9,38,6.9,38,6.9,38
212,534,534,3,1409,3,1393,3,1399,3,1390,3,1372,2,1278,3,1406,30,8,30,7,32,10,29,9,15,5,15,5,13,6,14,6,12.8,24.3,27,10,32,14,37.1,37.3,13,2,10,11,4.4,7.6,0,3,2,5,2.3,1.2,46,18,41,18,43.4,29.5,9.1,49,9.1,49,9.1,49,9.1,49,9.1,49,9.1,49
213,323,323,5,1511,5,1510,5,1536,5,1591,5,1583,5,1680,4,1343,38,7,38,4,34,9,32,8,22,6,17,4,84,18,89,14,92.1,93.6,4,5,1,0,1.7,2.2,6,2,4,4,2.2,1.6,0,2,2,5,1.4,0.6,2,4,4,5,2.6,2,0.6,2,0.6,2,0.6,2,0.6,2,0.6,2,0.6,2
215,302,302,3,884,3,882,3,874,3,871,3,852,3,819,3,891,43,23,43,16,32,17,28,16,17,9,17,10,95,14,100,0,92.3,95.4,0,2,0,2,0.4,0.8,5,3,0,2,2.1,1.7,0,4,0,7,2.1,0.5,0,2,0,2,3.2,1.7,9.5,29,9.5,29,9.4,28,10.2,31,10.4,31,12.5,38
216,206,206,4,822,4,797,4,822,4,814,4,809,4,779,3,706,33,7,45,23,20,12,21,12,11,7,17,9,61,4,78,16,86.6,90.7,22,27,10,12,6,3.8,0,3,0,2,3,2.6,0,3,13,25,2.2,1.6,0,1,0,2,2.2,1.4,4.9,10,4.9,10,4.9,10,4.9,10,6.2,13,6.2,13
217,418,418,3,1276,3,1223,3,1302,3,1294,3,1264,3,1208,3,1174,43,5,46,4,27,8,23,9,18,7,20,7,97,7,98,7,92.6,96.9,0,1,0,1,0.8,0,1,2,1,1,3.1,0.9,0,2,0,3,1.7,0.4,1,2,1,2,1.7,1.7,5.1,21,5.1,21,5.1,21,5.1,21,5.1,21,5.1,21
218,514,514,5,2658,5,2334,5,2345,5,2673,5,2663,5,2619,5,2324,48,5,47,7,14,5,17,5,25,7,22,7,50,10,53,12,59.7,81.3,38,10,37,10,26.2,10.9,5,2,3,5,5.9,3.4,0,2,0,2,2.5,1.4,7,4,7,4,5.7,3,2.4,12,2.4,12,2.4,12,2.4,12,2.4,12,2.4,12
219,1122,1122,2,2508,2,2487,2,2456,2,1916,2,1901,1,1653,2,1722,22,1,21,1,5,3,5,2,1,2,1,2,50,9,55,8,56.5,69.9,34,9,22,7,23.7,16.3,9,2,15,6,10.5,6.5,0,2,3,5,3.4,3.7,4,2,4,2,6,3.7,13.6,152,13.6,152,13.6,152,13.6,152,13.6,152,13.6,152
220,430,430,4,1790,4,1776,4,1780,4,1770,4,1751,4,1692,4,1794,35,3,36,7,26,6,23,6,13,4,13,4,39,4,38,6,60.2,77.8,26,11,26,11,22.1,14.1,0,2,0,1,2.2,1.6,0,2,6,7,2.9,2.2,31,15,31,18,12.6,4.2,2.7,12,2.7,12,2.7,12,2.7,12,2.7,12,2.7,12
221,423,423,6,2716,6,2708,6,2700,5,2300,5,2293,5,2138,3,1290,34,10,25,9,11,11,19,11,9,5,7,4,29,8,18,4,27.1,67.3,62,18,67,14,54.4,21.9,4,2,5,5,3.6,5.1,0,2,8,11,3.5,2.4,3,3,2,2,11.4,3.3,13.7,58,13.7,58,13.7,58,13.7,58,13.7,58,13.7,58
222,312,312,5,1598,5,1597,5,1582,5,1577,5,1579,5,1522,5,1415,41,5,43,4,19,5,19,5,19,4,17,4,82,8,87,8,85.5,91.7,0,1,0,1,2.6,3.5,4,2,2,2,5.3,2.7,1,2,3,7,2.3,1,9,6,8,6,4.3,1.2,1.5,5,1.5,5,1.5,5,1.5,5,1.5,5,1.5,5
223,292,292,6,1877,6,1888,7,1906,7,1927,7,1903,6,1875,7,1973,44,8,44,6,21,8,25,9,12,5,15,6,13,10,11,6,16.7,24.2,61,12,65,13,62.2,65.6,7,1,0,1,4.5,3.6,3,2,16,20,2.1,2.3,5,7,8,10,14.5,4.3,4,12,4,12,4,12,4,12,4,12,4,12
224,385,385,6,2358,6,2358,6,2358,6,2358,6,2358,6,2226,6,2318,39,8,37,10,16,7,16,6,12,4,10,3,80,7,82,6,70.3,82.9,8,8,7,6,12.9,5.7,3,2,3,3,3.3,4.8,0,2,4,5,3.1,1.6,6,6,6,6,10.4,5,0,0,0,0,0,0,0,0,0,0,0,0
225,1313,1312,1,1360,1,1386,1,1355,1,1355,1,1350,1,940,1,667,36,8,34,4,27,11,29,11,11,4,10,4,43,4,44,7,61.6,78.1,42,22,39,19,21.9,14.1,2,3,1,1,2.7,3.8,1,3,5,7,3.1,2.1,9,10,11,13,10.7,2,21.4,281,20.1,264,20.4,267,21.7,285,21.7,285,21.7,285
226,116,116,8,869,8,873,8,870,8,870,7,865,6,744,7,770,31,6,32,6,30,15,26,12,5,5,7,4,72,17,65,14,65.9,81.2,3,5,10,10,17.6,10.4,4,3,3,4,1.5,2.2,0,3,1,6,3,0.7,20,27,21,20,12.1,5.6,0.4,1,0.4,1,0.4,0,0.4,0,0.4,0,0.4,0
227,593,593,4,2560,4,2534,4,2536,4,2546,4,2504,4,2414,2,1239,41,4,38,2,28,9,31,8,6,4,5,2,38,17,32,14,30,60.3,44,17,47,16,51.3,30.8,0,2,2,2,1.4,1.9,0,2,7,7,2.9,2.7,16,15,11,10,14.3,4.4,12.3,73,12.3,73,12.3,73,12.3,73,12.3,73,12.2,72
228,829,829,1,545,1,545,1,545,1,545,1,539,1,621,0,154,36,5,32,7,31,4,34,2,3,6,4,5,30,7,34,11,27.9,77,47,24,55,22,52.7,12.7,2,3,3,4,3.1,1.7,0,4,0,6,3.1,3.1,21,10,9,15,13.4,5.2,54.7,454,54.7,454,54.7,454,54.7,454,54.7,454,54.7,454
229,1346,1346,2,3003,2,2649,2,2393,2,2149,1,1779,2,2096,1,1150,32,5,32,4,37,2,33,5,9,3,9,4,26,6,26,6,43.3,72,52,21,40,16,26,19.5,4,1,8,7,1.4,0.5,0,1,4,4,2.9,1.5,14,11,23,12,26.3,6.5,29.3,395,29.3,395,29.3,395,29.3,395,29.3,395,29.4,396
230,275,278,9,2462,9,2453,9,2457,9,2447,7,2071,6,1769,4,1142,29,3,28,4,10,5,8,4,1,2,1,2,23,10,25,10,22.5,21.5,18,7,31,11,46.5,68.5,43,9,30,14,13.8,3.9,0,2,5,8,2.5,2.6,14,12,10,10,14.7,3.6,17.8,49,17.8,49,17.8,49,17.6,49,17.6,49,17.6,49
231,1247,1222,2,2849,2,2839,2,2801,2,2775,2,1839,1,1662,1,773,33,11,37,8,31,10,27,8,12,6,10,3,37,12,39,13,44.1,71.6,44,19,42,16,39.5,16.8,1,2,2,2,5.9,8.3,0,2,3,5,3,1.2,15,17,15,14,7.5,2.1,12,149,12,149,12,149,12.5,153,13.1,160,18.5,227
