NPA,r1_2015,r1_2013,m47_2018,r47_2018,m47_2017,r47_2017,m47_2016,r47_2016,m47_2015,r47_2015,m47_2013,r47_2013,m47_2010,r47_2010,m47_2000,r47_2000,m2_2018,m2_moe_2018,m2_2017,m2_moe_2017,m12_2018,m12_moe_2018,m12_2017,m12_moe_2017,m13_2018,m13_moe_2018,m13_2017,m13_moe_2017,m14_2018,m14_moe_2018,m14_2017,m14_moe_2017,m14_2010,m14_2000,m15_2018,m15_moe_2018,m15_2017,m15_moe_2017,m15_2010,m15_2000,m16_2018,m16_moe_2018,m16_2017,m16_moe_2017,m16_2010,m16_2000,m17_2018,m17_moe_2018,m17_2017,m17_moe_2017,m17_2010,m17_2000,m18_2018,m18_moe_2018,m18_2017,m18_moe_2017,m18_2010,m18_2000,m11_2018,r11_2018,m11_2017,r11_2017,m11_2016,r11_2016,m11_2015,r11_2015,m11_2013,r11_2013,m11_2011,r11_2011
NPA,Area,Area,Population_Density_2018,Population _2018,Population_Density_2017,Population _2017,Population_Density_2016,Population _2016,Population_Density_2015,Population _2015,Population_Density_2013,Population _2013,Population_Density_2010,Population_2010,Population_Density_2000,Population _2000,Age_of_Residents_2018,Age_of_Residents_moe_2018,Age_of_Residents_2017,Age_of_Residents_moe_2017,Youth_Population_2018,Youth_Population_moe_2018,Youth_Population_2017,Youth_Population_moe_2017,Older_Adult_Population_2018,Older_Adult_Population_moe_2018,Older_Adult_Population_2017,Older_Adult_Population_moe_2017,White_Population_2018,White_Population_moe_2018,White_Population_2017,White_Population_moe_2017,White_Population_2010,White_Population_2000,Black_Population_2018,Black_Population_moe_2018,Black_Population_2017,Black_Population_moe_2017,Black_Population_2010,Black_Population_2000,Asian_Population_2018,Asian_Population_moe_2018,Asian_Population_2017,Asian_Population_moe_2017,Asian_Population_2010,Asian_Population_2000,All_Other_Races_2018,All_Other_Races_moe_2018,All_Other_Races_2017,All_Other_Races_moe_2017,All_Other_Races_2010,All_Other_Races_2000,Hispanic_Latino_2018,Hispanic_Latino_moe_2018,Hispanic_Latino_2017,Hispanic_Latino_moe_2017,Hispanic_Latino_2010,Hispanic_Latino_2000,Vacant_Land_2018,Vacant_Land_Area_2018,Vacant_Land_2017,Vacant_Land_Area_2017,Vacant_Land_2016,Vacant_Land_Area_2016,Vacant_Land_2015,Vacant_Land_Area_2015,Vacant_Land_2013,Vacant_Land_Area_2013,Vacant_Land_2011,Vacant_Land_Area_2011
61,301,301,4,1202,4,1202,4,1202,4,1200,4,1199,4,1156,3,756,25,3,24,3,12,5,19,3,1,4,2,3,43,14,45,10,45,54.4,51,17,44,20,40.3,32.7,3,3,6,8,4.3,6.7,0,3,5,8,3.5,2.1,0,1,0,1,6.8,4.2,15.9,48,15.9,48,16,48,16,48,16,48,16,48
62,291,291,20,5727,19,5491,19,5491,19,5404,18,5127,10,2808,11,3299,19,,19,,0,1,0,1,0,2,0,1,61,6,60,6,66,61.1,22,5,26,5,22.6,31.1,8,1,5,2,3.3,3.5,0,2,4,4,2.7,2.3,6,2,4,2,5.3,2,0,0,0,0,0,0,0,0,0,0,0,0
64,382,382,14,5457,14,5463,12,4523,12,4491,11,4335,10,3827,6,2301,27,,28,,9,6,9,5,6,2,5,2,38,11,37,6,42.8,57.4,41,12,44,18,34.6,22.4,6,1,7,4,7.3,10.7,2,2,4,5,3.6,2.5,9,5,8,6,11.6,7,9.3,35,9.3,35,9.3,35,9.3,35,9.5,36,9.5,36
65,361,361,6,2230,6,2225,5,1701,6,2212,5,1777,5,1638,1,351,28,3,28,2,19,7,20,7,0,2,1,2,26,8,27,8,50.8,71.2,26,15,22,13,25.5,12.8,37,8,41,18,15.7,5.4,2,2,10,14,4.4,2,1,1,0,1,3.7,8.6,43.5,157,38.5,139,38.5,139,43.5,157,38.5,139,38.5,139
66,368,365,7,2746,7,2736,7,2737,7,2725,7,2557,7,2587,6,2311,31,1,29,4,7,5,7,4,12,4,9,4,45,9,42,13,37.6,62.7,31,15,26,10,32.6,18.4,16,3,22,9,19.6,13.8,4,2,4,7,2.6,1.2,3,3,6,5,7.6,3.9,5.3,20,5.3,20,5.3,20,5.3,20,5.3,20,5.3,20
67,99,99,12,1148,12,1148,12,1170,12,1169,6,565,6,551,1,82,27,5,25,8,9,7,11,7,9,9,8,7,54,28,51,28,37.4,69.1,15,11,12,9,43.4,15.7,16,4,15,20,12,11.4,0,3,11,16,3.6,2.3,3,5,11,10,3.6,1.2,38.9,39,38.9,39,38.9,38,38.9,38,38.9,38,38.9,38
68,1265,1269,2,2479,2,2479,2,2479,2,2481,2,2479,2,2667,2,2603,44,6,41,3,17,7,16,6,14,4,12,4,41,12,34,12,49.8,65.5,36,8,43,13,28.2,22.7,4,2,4,5,3.5,3.8,0,2,6,6,3.7,2.1,15,11,13,9,14.8,5.9,26.4,334,26.4,334,26.4,334,26.3,334,26.3,334,26.3,334
69,380,380,4,1392,4,1390,3,1276,3,1118,4,1454,3,1181,3,1102,39,16,44,9,27,7,26,7,27,5,22,5,90,8,89,23,85.5,82.5,0,1,1,1,4.7,1.8,1,3,1,1,4.6,7.8,0,3,3,7,1.7,1.7,9,12,7,11,3.6,6.2,1,4,1,4,1,4,1,4,1,4,1,4
70,296,296,4,1284,4,1287,4,1288,4,1277,4,1258,4,1249,5,1342,52,8,52,3,13,7,9,6,22,6,22,3,3,3,3,3,1.9,2.2,96,5,96,8,95.8,96.5,0,3,0,1,0,0,0,3,1,4,1,0.9,1,1,0,1,1.2,0.4,2.1,6,2.1,6,2.1,6,2.1,6,2.1,6,2.1,6
71,355,355,12,4193,12,4167,12,4178,12,4161,12,4121,9,3265,7,2348,29,2,28,2,31,5,31,5,2,1,2,1,6,3,5,3,8.9,18.5,23,7,23,7,25.5,22.5,3,1,6,4,1.9,2.6,0,2,1,2,1.3,2.2,68,12,65,10,62.4,54.2,2.9,10,2.9,10,2.9,10,2.9,10,2.9,10,2.9,10
72,1164,1163,4,4320,3,3431,2,2661,2,2766,1,1305,1,1278,0,548,35,2,34,2,20,6,19,6,4,2,2,2,39,10,38,11,48.1,65.7,49,11,51,13,39.4,23.5,7,2,5,6,3.7,5.5,0,2,1,3,3,3.3,3,6,4,5,5.9,2,25.8,300,25.8,300,25.8,300,25.8,300,25.8,300,25.8,300
73,4078,4079,1,3056,1,2951,1,2938,1,2855,1,2780,1,2854,0,1385,36,3,37,3,28,8,27,7,8,2,10,3,39,5,39,5,45.9,81.5,42,7,44,4,34.3,13,5,2,6,5,4.3,2.3,0,2,2,3,4.2,0.7,10,1,8,6,11.2,2.6,33.4,1360,33.4,1360,33.4,1360,33.4,1360,33.4,1360,33.4,1360
74,200,200,6,1136,6,1137,6,1140,6,1139,6,1117,5,1089,6,1132,41,9,44,15,13,8,8,6,19,5,21,5,84,7,93,4,81.5,86,10,11,6,4,8.4,7,1,3,0,1,1.3,2.4,2,3,2,6,2.1,1.7,3,3,0,1,6.7,3,1,2,1,2,1,2,1,2,1,2,1,2
75,343,339,6,2067,6,2049,6,2059,6,2059,5,1787,5,1639,0,80,44,7,41,3,22,7,23,6,7,3,8,3,40,8,48,6,71.6,93.8,23,15,24,19,12.1,2.5,27,5,24,14,6.2,3.8,0,2,0,2,3.2,0,9,10,4,6,6.8,0,17.2,59,5.7,20,5.7,20,17.4,59,6,20,6,20
