NPA,m28_2018,r28_2018,m28_2017,r28_2017,m28_2016,r28_2016,m45_2018,r45_2018,m45_2017,r45_2017,m45_2016,r45_2016,m45_2015,r45_2015,m45_2014,r45_2014,m45_2011,r45_2011,m46_2018,r46_2018,m46_2017,r46_2017,m46_2016,r46_2016,m46_2015,r46_2015,m46_2013,r46_2013,m46_2011,r46_2011,m74_2018,r74_2018,m74_2017,r74_2017,m74_2016,r74_2016,m74_2015,r74_2015,m74_2013,r74_2013,m54_2016,m54_2014,m54_2012,m54_2010,m55_2016,m55_2014,m55_2012,m56_2016,m56_2014,m56_2012,m57_2016,m57_2014,m57_2012,m57_2010,m81_2017,m81_2015,m81_2014
NPA,Low_Cost_Healthcare_Proximity_2018,Low_Cost_Healthcare_Proximate_Units_2018,Low_Cost_Healthcare_Proximity_2017,Low_Cost_Healthcare_Proximate_Units_2017,Low_Cost_Healthcare_Proximity_2016,Low_Cost_Healthcare_Proximate_Units_2016,Grocery_Proximity_2018,Grocery_Proximate_Units_2018,Grocery_Proximity_2017,Grocery_Proximate_Units_2017,Grocery_Proximity_2016,Grocery_Proximate_Units_2016,Grocery_Proximity_2015,Grocery_Proximate_Units_2015,Grocery_Proximity_2014,Grocery_Proximate_Units_2014,Grocery_Proximity_2011,Grocery_Proximate_Units_2011,Pharmacy_Proximity_2018,Pharmacy_Proximate_Units_2018,Pharmacy_Proximity_2017,Pharmacy_Proximate_Units_2017,Pharmacy_Proximity_2016,Pharmacy_Proximate_Units_2016,Pharmacy_Proximity_2015,Pharmacy_Proximate_Units_2015,Pharmacy_Proximity_2013,Pharmacy_Proximate_Units_2013,Pharmacy_Proximity_2011,Pharmacy_Proximate_Units_2011,Park_Proximity_2018,Park_Proximate_Units_2018,Park_Proximity_2017,Park_Proximate_Units_2017,Park_Proximity_2016,Park_Proximate_Units_2016,Park_Proximity_2015,Park_Proximate_Units_2015,Park_Proximity_2013,Park_Proximate_Units_2013,Births_to_Adolescents_2016,Births_to_Adolescents_2014,Births_to_Adolescents_2012,Births_to_Adolescents_2010,Low_Birthweight_2016,Low_Birthweight_2014,Low_Birthweight_2012,Prenatal_Care_2016,Prenatal_Care_2014,Prenatal_Care_2012,Age_of_Death_2016,Age_of_Death_2014,Age_of_Death_2012,Age_of_Death_2010,Public_Health_Insurance _2017,Public_Health_Insurance _2015,Public_Health_Insurance _2014
99,0,0,0,0,0,0,0,0,0,0,0,0,31,200,31,200,28,182,0,0,0,0,0,0,0,0,0,0,0,0,100,643,100,645,100,645,100,643,100,645,3.9,2.3,0,0,7.8,11.4,12.2,58.8,65.9,78,70,72,79,68,17,22,15
100,26,185,37,259,37,259,35,247,35,260,40,283,41,285,41,285,35,247,1,8,1,4,23,161,23,163,23,163,25,175,99,692,99,690,99,692,99,694,99,694,0,12.1,8,14.3,17.9,24.1,6,50.8,46.6,60,68,60,68,61,32,41,28
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,37,5,33,5,33,5,33,5,33,3.2,4.3,6.9,10.1,17.2,6.4,10.3,47.3,37.2,42.2,57,72,49,52,26,34,31
102,7,38,10,51,10,51,66,347,66,406,51,269,51,269,51,268,0,0,9,46,15,77,15,77,15,77,15,77,15,77,51,268,49,256,49,256,49,255,49,255,2.3,5,8.2,8.1,14,2.5,12.2,53.5,35,44.9,58,63,67,66,26,30,26
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,1,7,1,7,1,7,1,7,10,0,5.9,5.1,16,6,13.7,48,62,62.7,68,72,66,72,37,40,39
105,3,33,9,76,10,76,12,111,12,0,0,0,0,0,0,0,0,0,1,11,5,40,5,40,6,38,7,38,8,35,100,961,99,859,99,775,99,625,92,483,0,0,0,3.3,11.1,9.7,4.8,73.7,88.7,81,74,77,76,,8,13,14
106,97,708,97,710,97,710,99,722,99,722,99,722,99,722,99,722,99,720,50,367,50,366,50,366,98,714,98,714,98,714,2,12,2,12,2,12,2,12,2,12,4.4,2.8,3.3,1.8,2.9,5.6,5,42,38,48.3,50,61,,56,24,26,25
107,0,0,0,0,0,0,0,0,0,0,62,416,39,416,39,416,0,0,1,8,2,11,62,416,39,416,39,416,1,11,64,415,64,431,64,431,40,431,40,431,0,1.3,3.6,9.2,6.2,5.3,10.8,52.3,61.3,61.4,64,62,58,54,26,22,28
108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,188,34,188,34,187,34,188,34,187,8.6,3.1,0,7.1,2.9,0,13.2,71.4,65.6,73.7,78,68,75,82,17,17,25
109,35,342,43,420,44,413,40,392,40,448,44,421,43,393,44,385,39,328,40,392,46,448,44,421,43,393,44,385,44,364,4,39,4,38,27,255,28,256,29,257,0,2.4,0,2.3,11.1,7.1,0,75.6,88.1,83.7,72,74,69,72,11,10,12
110,32,246,32,246,32,246,32,246,32,251,33,251,33,250,33,251,33,251,32,246,33,251,33,251,33,250,33,251,33,251,34,254,33,254,34,255,34,255,34,255,0,2.2,2,0,25.5,15.6,4.1,66.7,73.3,81.6,68,74,64,73,8,9,7
111,0,0,0,0,0,0,18,249,18,314,0,0,0,0,0,0,0,0,18,249,30,329,17,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,1.9,9.4,7.1,8.1,62.3,73.8,67.4,63,62,71,51,20,16,12
112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,121,19,121,21,121,22,121,22,120,0,2.6,0,7.5,13.6,5.3,15.2,61.4,52.6,65.2,68,68,71,78,15,22,15
113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,394,26,393,27,395,28,395,29,395,8.6,2.1,0.9,5.7,7.8,11.3,10.4,66.4,71.1,80.2,65,68,64,68,22,27,18
114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,495,93,411,56,249,55,232,54,231,8.5,2.6,11.4,15.1,14.9,13.2,20,40.4,36.8,68.6,59,59,70,65,35,38,31
115,31,570,31,561,35,638,21,379,21,212,12,212,12,212,12,212,31,476,21,378,42,777,12,212,12,212,12,212,33,509,20,364,20,364,20,364,20,371,18,313,0,0,0,1,12.1,6.4,9.5,69,77.6,79.4,72,68,67,66,4,4,3
116,51,706,54,708,56,709,74,1017,74,941,63,796,65,798,67,800,74,833,63,872,60,787,72,906,73,907,76,911,81,905,24,334,25,333,15,189,14,179,16,191,4.2,4.4,2.4,8.9,9.5,10.2,10.4,61.9,52.6,58.4,72,61,64,62,21,29,30
117,0,0,0,0,0,0,20,318,20,302,22,318,22,318,23,318,23,318,20,318,20,302,22,318,22,318,23,318,0,0,4,64,1,20,1,21,1,21,1,16,1.5,1.5,3.2,5.1,11.9,14.5,16.9,55.2,60.9,64.5,56,57,57,47,22,30,20
118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,328,71,316,76,328,77,327,79,327,0,4,0,0,8.6,0,4.2,91.4,92,70.8,78,83,68,70,3,4,4
119,0,0,0,0,0,0,27,127,27,127,27,127,27,127,27,127,24,111,24,110,0,0,25,117,25,117,25,117,25,118,93,434,92,428,92,428,92,428,91,427,2.7,6.9,2.9,8.3,13.5,3.5,14.7,59.5,62.1,73.5,77,75,65,62,17,22,15
120,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,611,100,584,100,579,100,598,100,594,11,8.3,3.3,6.9,17.8,10,23,46.6,50,73.8,61,74,68,63,56,59,50
121,0,0,0,0,0,0,5,38,5,1,0,1,0,1,0,1,4,30,71,584,0,1,0,1,0,1,0,1,0,1,55,452,53,435,53,434,53,434,53,434,1.2,2.9,11.7,5.2,8.5,10.1,5,57.3,58,63.3,63,62,69,72,30,36,24
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,70,765,82,888,82,889,1,14,1,14,1,14,1,14,1,14,1,14,1,14,1,14,1,14,1,14,1,14,1,14,93,1013,90,978,92,998,92,998,92,998,4.6,5.3,6.9,6.9,12.1,15.8,13.8,57.6,57.9,74.1,72,73,74,69,31,34,29
124,67,592,59,518,81,722,83,734,83,823,93,826,93,828,93,828,84,744,66,584,72,635,72,635,71,636,93,828,93,828,94,832,100,885,100,888,100,890,100,890,4,9.4,11.6,14.8,10,15.1,18.6,56,43.4,76.7,65,67,67,67,34,41,30
125,0,0,0,0,0,0,0,0,0,0,20,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,1013,83,987,81,868,41,440,42,438,0,3.8,5.3,8.3,23.6,9.5,11.7,50.6,60,77.7,53,61,68,62,26,39,29
126,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,100,417,100,343,100,290,100,251,100,189,7.7,0,0,,19.2,15.4,0,61.5,53.9,63.6,,,,,45,42,72
127,17,189,19,188,47,462,14,162,14,650,66,650,66,650,66,650,67,661,37,418,27,267,27,267,27,267,27,267,59,578,87,979,0,4,0,4,0,4,0,0,3.3,6.3,6,7.8,8.9,8.9,12,48.8,54.5,70,78,84,80,78,31,35,29
128,1,14,1,11,1,11,3,27,3,81,8,80,8,80,8,80,4,39,46,469,47,481,46,480,8,80,8,80,8,80,100,1017,88,893,88,916,88,917,87,911,7.5,4.9,7,13.7,11.7,12.6,8,54.2,43.7,51,67,60,63,58,32,43,34
129,12,108,14,123,14,123,13,110,13,200,23,200,23,200,23,200,11,99,18,155,27,235,27,235,27,236,26,228,26,229,49,429,49,429,49,428,49,428,49,429,0,1.8,0,0,8.5,10.7,0,78.7,80.4,95.1,73,74,64,66,3,2,2
130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,121,13,103,13,103,13,103,11,85,0,0,0,0,6.7,0,18.8,73.3,67.7,81.3,73,68,80,61,3,3,1
131,0,0,0,0,0,0,0,0,0,0,17,136,17,135,16,123,0,0,2,17,1,8,17,136,17,135,16,123,1,8,49,392,54,431,54,430,54,429,56,424,0,0,4.5,2.9,7.9,8.6,13.6,57.1,63.8,84.8,59,66,62,47,15,17,25
132,0,0,0,0,0,0,88,241,88,247,89,249,89,249,89,247,88,246,0,0,0,0,0,0,0,0,0,0,0,0,100,275,100,279,100,281,100,281,100,279,0,0,0,0,5,0,0,80,90,93.8,69,73,72,73,8,5,4
133,0,0,0,0,0,0,50,275,50,277,92,578,92,577,79,498,80,498,3,17,0,0,28,174,28,174,28,174,27,172,89,491,86,537,85,536,85,534,85,535,0,0,0,0,0,5.4,7.7,85,89.2,92.3,65,80,,64,2,3,2
134,0,0,0,0,0,0,0,0,0,168,37,168,37,168,37,168,35,155,0,0,0,0,100,449,100,449,100,449,100,449,100,449,100,449,92,411,92,411,92,411,4.2,5,4,6.1,8.3,17.5,12,45.8,65,56,62,59,69,60,22,24,15
135,100,555,100,555,100,555,0,0,0,0,0,0,0,0,0,0,0,0,100,555,100,555,100,555,100,555,100,555,100,554,67,374,0,0,0,0,0,0,0,0,0,3.3,4.9,0,11.4,13.3,4.9,50,63.3,58.5,72,70,80,78,40,44,41
136,2,13,1,10,1,10,9,80,9,26,3,26,3,26,3,25,10,74,9,80,3,26,3,26,3,26,3,25,3,25,50,421,50,415,37,304,38,303,38,301,0,0,0,1.1,11.6,6.2,7.1,66.7,82.7,88.8,69,69,69,60,7,7,5
137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,1,6,1,7,2,9,2,9,0,0,1,4,1,4,1,4,1,5,5.6,2.4,8.9,5.9,8.9,15.3,13.9,48.9,54.1,59.5,70,58,56,60,33,45,64
138,92,228,98,246,98,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,212,86,216,87,218,87,218,86,217,6.1,0,4.8,12,9.1,7.1,9.5,60.6,50,57.1,65,69,71,71,37,36,23
139,17,114,47,308,47,308,14,93,14,90,14,90,14,90,14,90,17,95,16,102,19,125,19,125,19,125,17,114,21,115,65,427,65,428,73,483,56,367,55,364,0,21.4,4,9.5,15.2,10.7,24,67.4,60.7,92,68,68,66,67,25,32,24
140,0,0,0,0,0,0,13,143,13,143,13,143,13,144,13,143,22,217,23,252,0,0,28,304,28,305,21,223,23,226,50,538,47,501,35,376,35,377,37,394,3.3,1.4,5.6,7.7,9.8,13.9,11.1,55.7,63.9,57.4,67,70,66,71,23,29,23
141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,331,98,335,98,334,0,0,0,0,58,194,22,74,18,61,18,61,18,61,8.9,14.7,9.7,11.1,11.1,14.7,3.2,44.4,41.2,74.2,57,53,68,54,34,43,29
142,0,0,0,0,0,0,14,186,14,533,41,533,41,533,41,533,15,190,14,186,100,1299,100,1299,100,1299,100,1299,41,533,4,56,4,56,4,56,4,56,4,56,9.5,4.2,4.7,10.7,13.1,4.2,8.2,58.3,62,74.1,67,67,62,62,21,27,18
143,0,0,0,0,0,0,13,80,13,56,9,56,9,56,9,56,12,77,13,84,9,56,10,61,10,61,10,61,10,60,26,161,26,162,26,160,26,159,26,159,0,0,0,0,2.3,0,3.2,86.1,96.4,90.3,76,80,74,76,2,3,2
144,0,0,0,0,0,0,52,509,52,506,52,502,52,498,51,473,54,498,94,932,51,506,52,502,52,498,51,473,51,468,0,0,0,0,0,0,0,0,0,0,2.4,3,5.9,6.7,7.2,10.6,11.8,57.8,56.1,62.4,66,77,73,72,32,37,29
145,0,0,0,0,0,0,3,18,3,51,8,51,8,51,8,51,5,31,2,12,1,8,5,35,5,35,5,34,5,34,60,388,60,387,60,387,60,387,60,385,4.8,2.8,3.4,8.3,3.2,15.5,8.6,50,63.4,65.5,67,65,70,66,29,39,30
146,0,0,0,0,0,0,53,365,53,99,62,411,62,407,62,407,53,343,66,457,63,435,62,411,62,407,62,407,53,340,33,230,33,230,31,206,31,202,31,202,3.6,3.9,7.3,4,10.7,3.9,9.8,58.9,51.9,75.6,68,67,69,72,22,27,17
147,54,609,50,517,53,569,26,296,26,209,19,208,19,199,18,192,0,3,29,324,28,284,25,275,24,261,24,253,20,207,9,101,13,129,9,102,8,90,6,60,1.6,3.4,5.8,5.7,14.3,5.1,7.7,54,55.9,80.8,64,61,71,65,27,29,21
148,0,0,0,0,0,0,0,0,0,466,49,465,49,465,49,465,55,507,48,468,50,471,51,483,51,483,51,483,52,482,77,746,76,718,76,717,76,718,58,543,0,0,0,0,18.4,6.8,2.5,73.7,77.3,95,84,71,62,66,2,3,2
149,0,0,0,0,0,0,0,0,0,151,34,151,34,151,17,70,55,205,45,201,36,162,36,162,36,162,40,162,43,161,62,277,62,277,62,278,62,278,59,240,8.3,0,0,0,0,0,4.2,58.3,100,83.3,74,80,71,,6,7,5
150,0,0,0,0,0,0,15,100,15,70,10,70,10,70,0,0,0,0,0,0,8,55,8,55,8,55,8,55,8,55,60,407,46,313,45,306,45,306,45,306,2.1,5.3,5,11.5,25,5.3,12.5,58.3,50,55,65,68,71,68,23,30,19
151,0,0,0,0,0,0,11,148,11,0,0,0,0,0,0,0,0,0,11,148,0,0,0,0,0,0,0,0,0,0,79,1020,80,1021,91,1020,84,947,92,1029,0,0,0,1.2,4.3,5.5,2.9,74.5,78.1,84.3,83,69,64,,4,6,4
152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,44,15,45,15,45,15,45,9,26,0,0,0,4.2,10.5,0,11.8,52.6,63.2,64.7,60,77,74,63,15,19,13
153,38,467,40,487,40,487,44,537,44,555,45,553,45,553,45,553,40,487,17,211,19,234,19,234,19,234,45,554,45,554,0,0,0,0,0,0,0,0,0,0,0,3.8,0,2.6,12.2,10,8.7,77,68.8,81.5,68,71,73,58,11,12,6
154,51,579,51,579,51,580,42,486,42,549,47,535,47,535,47,535,44,506,45,520,45,510,48,549,48,549,47,539,47,539,12,135,12,136,12,136,12,136,12,136,1.1,1.2,0,6.7,12.2,8.5,12.4,64.4,62.2,70.8,71,74,61,55,7,8,5
155,0,0,0,0,0,0,27,386,27,486,5,53,5,53,5,53,3,26,26,361,33,455,11,119,3,30,3,30,3,31,0,0,0,0,0,0,0,0,0,0,1,0,6.4,1.1,5.9,10.3,3.8,63.4,60.9,56.4,52,54,55,64,13,20,13
156,0,0,0,0,0,0,30,386,30,495,39,492,39,467,38,443,28,313,30,385,36,454,36,454,36,429,0,0,0,0,52,675,53,670,53,670,55,669,56,650,3.3,1.8,3.8,6.7,11.6,11.7,5.7,58.7,64.9,79.2,57,61,64,53,20,25,17
157,0,0,43,121,43,124,71,197,71,209,74,214,74,214,81,317,98,450,0,0,0,0,0,0,0,0,0,0,0,0,64,179,31,87,60,172,59,171,96,375,6,4.6,5.3,9.7,20,18.2,7.9,42,40.9,63.2,59,59,62,64,49,63,54
158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,669,50,652,50,641,50,641,50,640,6.5,6.5,7.1,13.3,9.4,18.7,8.2,60.9,69.1,72.4,65,66,62,65,30,36,28
159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,421,100,419,100,397,100,389,100,381,6.7,7.7,11.1,14.3,13.3,7.7,5.6,46.7,61.5,55.6,69,71,57,67,43,55,40
160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,889,83,919,83,919,83,919,83,918,6.7,7.8,8.6,6.2,18,14.3,13.6,46.1,61,60.5,63,64,66,68,35,40,30
161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,332,27,308,27,304,27,304,26,299,0,5.7,5.7,4.1,5.6,8,11.4,62.5,61.4,75,65,54,61,60,17,22,14
162,27,187,28,194,28,194,32,223,32,142,20,142,20,142,21,144,32,223,44,303,32,222,47,330,43,301,0,0,0,0,98,678,97,673,97,673,97,673,97,677,5.2,0,5.3,12.1,12.1,8.9,7,56.9,68.9,77.2,66,69,55,66,25,33,25
163,100,837,100,522,100,528,86,719,86,485,93,491,93,507,93,503,79,426,100,837,100,522,100,528,100,544,100,540,100,539,100,837,100,522,100,528,100,544,100,540,0,0,4.5,9.5,11.1,13.3,13.6,86.1,83.3,72.7,66,64,66,80,15,21,22
164,8,131,10,183,94,1655,99,1648,99,1740,89,1568,88,1538,89,1623,76,1382,70,1168,56,986,69,1225,75,1315,76,1385,76,1394,76,1265,77,1365,77,1368,77,1346,78,1417,8.5,4.6,3.7,5.7,10.6,10.8,7.4,44.1,40.7,46.5,52,63,57,56,31,38,26
165,87,794,82,741,81,741,82,741,82,736,83,756,83,756,83,756,80,734,85,776,87,790,87,791,84,768,84,768,84,770,19,171,18,167,19,169,19,169,19,169,6.2,3.8,8.1,7.1,10.1,9.8,9.1,53.5,51.9,56.6,24,34,46,60,29,35,36
166,80,433,82,439,100,537,80,428,80,536,100,535,100,536,100,536,81,438,86,463,93,499,84,452,65,350,0,0,9,47,3,18,3,18,3,18,3,18,0,0,2.5,5.8,0,9.4,12.5,13.5,13.2,55,53.9,63.2,60,37,70,52,30,33,27
167,2,7,2,7,100,358,0,0,0,260,72,260,72,260,72,260,0,0,72,260,72,260,72,260,0,0,0,0,0,0,100,361,100,360,100,359,100,361,0,0,6.8,0,10,4.9,9.1,8.8,7.5,47.7,64.7,60,61,71,68,74,25,31,26
168,91,575,86,546,86,547,0,0,0,91,14,91,14,91,14,91,0,0,14,91,16,101,16,101,16,101,16,101,16,101,68,431,53,334,53,334,53,334,3,18,6.7,2.4,5,9.3,6.7,11.9,17.5,48.9,69.1,57.5,65,62,68,68,29,34,28
169,17,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,28,18,180,9,89,1,11,1,11,1,11,1,11,70,711,66,620,63,539,62,493,59,462,0,0,1.5,0,4.6,10.1,9.2,80,73.9,86.2,52,57,,,6,6,3
170,28,181,21,133,39,248,13,82,13,215,34,215,34,215,34,215,13,82,13,80,35,220,34,215,34,215,34,215,34,215,76,488,76,481,76,481,76,482,76,481,8.7,0,0,0,8.7,4.8,0,69.6,76.2,93.9,74,66,65,68,5,4,2
171,89,451,85,432,83,367,86,436,86,379,71,314,68,270,68,275,82,329,89,451,85,432,83,367,81,323,81,328,81,328,0,0,0,0,0,0,0,0,0,0,0,4.8,0,0,0,0,9.1,91.3,57.1,95.5,76,84,,79,4,4,4
172,0,0,0,0,19,212,6,72,6,498,44,499,44,496,8,94,13,137,27,309,38,429,38,430,38,427,37,412,35,369,78,889,78,884,78,884,78,884,78,871,0,1.1,0,0,1.4,3.4,6.5,68.5,86.4,84.3,58,67,74,53,4,5,3
173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,26,0,0,0,0,18,74,15,60,0,0,0,0,98,419,98,417,15,63,16,63,16,63,3,3.7,10.5,10.5,21.2,18.5,26.3,66.7,48.1,63.2,57,67,70,48,32,41,35
174,0,0,0,0,0,0,3,17,3,17,0,0,0,0,0,0,0,0,29,181,29,181,29,181,26,164,26,164,26,164,20,124,20,124,20,125,20,125,20,125,0,0,0,7.5,18.9,8.8,6.5,70.3,52.9,58.7,75,73,71,67,16,18,13
175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,180,27,186,27,186,27,186,27,185,0,0,0,0,4.2,11.1,6.5,72.9,88.9,93.5,77,72,66,72,4,4,2
176,25,287,25,286,25,286,26,306,26,175,15,175,15,175,15,175,26,304,25,287,25,286,28,326,28,326,28,326,28,326,10,113,10,113,10,113,10,112,10,112,0,0,0,0,0,9.6,4.6,70,71.2,81.5,76,71,72,73,4,4,2
177,0,0,0,0,0,0,20,191,20,185,23,184,23,184,23,184,28,196,20,191,23,185,23,184,23,184,23,184,26,184,0,0,0,0,0,0,0,0,0,0,0,0,3.1,0,0,11.1,6.3,78.1,86.1,87.5,81,84,80,82,12,7,14
178,1,7,1,13,1,13,0,0,0,0,0,0,0,0,0,0,0,0,21,287,22,284,22,287,13,152,0,0,0,0,0,2,1,9,1,8,1,8,1,8,0,1,0,0,7,12.6,16.7,74.8,81.6,90.3,,65,,62,7,5,3
179,15,120,19,122,18,122,21,163,21,91,14,91,14,92,14,92,24,158,21,163,23,153,24,158,31,210,24,158,24,157,32,250,37,241,37,241,36,241,36,241,0,1.9,0,0,7.3,13.5,5.3,74.6,80.8,78.9,82,78,80,80,6,6,13
180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,4,22,4,22,4,22,5,22,5,21,85,450,84,447,66,344,65,328,66,318,2.2,2.3,12.9,2.3,8.7,4.6,3.2,52.2,47.7,58.1,75,78,68,56,25,33,23
181,0,0,0,0,0,0,44,560,44,567,45,567,45,565,46,566,46,558,44,559,45,568,45,574,45,572,44,548,45,548,65,827,67,848,65,822,65,817,64,791,0,0,0,0,6.1,10.9,9.4,77.6,81.8,83,79,83,75,75,3,4,3
182,0,0,77,206,77,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,268,100,268,100,268,100,268,100,268,11.5,8.7,13,22.7,19.2,30.4,17.4,50,47.8,73.9,66,64,57,59,36,42,36
183,19,68,17,61,17,61,15,51,15,51,15,51,15,52,15,52,15,52,17,58,15,51,16,57,17,61,0,0,0,0,88,310,87,307,87,306,87,306,87,307,4.8,3.3,6.5,0,0,10,0,57.1,60,74.2,74,65,70,,25,31,22
184,65,450,34,233,43,297,34,234,34,274,40,274,40,273,40,273,27,238,86,598,85,582,85,586,85,587,41,280,44,379,97,677,89,611,90,617,90,619,99,683,0,0,0,0,10.4,9.1,6.5,70.1,89.8,94.8,75,73,73,71,3,3,2
185,51,694,51,694,51,694,0,0,0,0,0,0,0,0,0,0,0,0,51,694,100,1369,100,1367,100,1366,100,1368,0,0,0,0,0,0,0,0,0,0,0,0,6,2.7,5.5,4.6,12,8,7.1,51.3,40.7,65.4,47,61,63,48,17,19,11
186,0,0,0,0,0,0,0,0,0,297,39,323,39,323,39,325,36,300,3,28,3,25,34,280,34,279,34,279,34,278,90,750,90,749,88,732,88,731,88,727,2.9,3.5,12.5,4.1,10,10.3,8.3,54.3,58.6,62.5,66,59,65,65,22,30,23
187,2,8,9,38,9,38,73,296,73,301,77,312,77,312,77,312,2,9,73,296,77,312,77,312,77,312,62,251,62,251,77,311,23,93,23,93,77,311,23,93,0,0,0,0,2.9,4.4,0,77.1,87,78.6,,,,,5,9,4
188,4,28,0,0,0,0,85,658,85,426,65,476,65,477,66,477,7,49,89,685,69,506,69,508,70,509,70,509,72,510,55,426,58,426,58,425,58,426,58,424,0,0,0,2,9.3,9.8,5.1,72.1,87.8,92.3,74,62,72,65,4,5,3
189,88,400,89,405,89,405,88,400,88,400,88,400,88,400,88,400,88,400,88,400,88,400,88,400,88,400,88,400,88,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,7.7,4.2,54.8,80.8,66.7,,,,,7,9,6
190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0,11.8,18.8,20.6,15.2,11.8,52.9,45.5,58.8,63,61,61,70,37,43,33
191,0,0,0,0,0,0,36,338,36,435,46,433,46,433,46,435,36,342,44,415,55,516,54,514,54,514,55,516,55,517,0,0,0,0,0,0,0,0,0,0,2.3,0,4.1,3.2,15.9,4.6,8.2,70.5,63.6,69.4,56,72,62,69,10,12,7
192,0,0,0,0,60,621,32,389,32,337,29,302,26,247,25,224,22,191,0,0,0,0,0,0,0,0,0,0,0,0,63,761,35,389,35,359,73,691,75,678,2,0,4.3,1.6,7.1,6,13,68.4,56.6,68.1,62,74,73,74,17,22,15
193,65,375,68,387,73,412,58,335,58,292,52,294,52,293,51,293,61,346,69,395,51,290,64,365,55,314,64,366,65,368,36,206,36,206,36,206,36,206,36,207,0,0,0,6.3,4.7,0,0,83.7,82.6,78.4,78,68,81,77,7,10,8
194,14,152,20,212,21,212,4,41,4,18,4,41,4,41,4,41,4,43,15,162,22,231,23,231,23,231,4,41,4,42,37,408,38,392,37,380,37,376,37,373,0,0,5.3,0,7.9,5.3,10.5,81.6,78.9,84.2,74,70,,73,3,3,2
195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,1.4,2.7,1.8,10,12.9,12.2,61.7,75.7,73,70,70,65,69,12,17,11
196,37,273,39,289,38,282,54,403,54,413,56,413,57,414,57,413,57,409,41,307,40,300,41,300,41,300,42,300,42,303,12,87,81,607,81,598,81,586,81,583,9.2,2.6,6.9,7.5,13.9,7.8,13.8,53.9,62.3,72.4,63,57,63,63,19,27,16
197,0,2,0,0,18,175,0,0,0,15,1,14,1,14,1,14,1,8,0,2,0,3,0,3,0,3,0,3,0,3,96,958,95,943,95,943,95,943,31,306,8.4,5.3,9.5,7.1,5.3,10.5,12.2,55.8,55.3,63.5,63,70,58,67,27,31,23
