NPA,m37_2018,m37_moe_2018,m37_2017,m37_moe_2017,m80_2018,m80_2017,m80_2016,m80_2015,m80_2013,m80_2011,m38_2018,m38_moe_2018,m38_2017,m38_moe_2017,m75_2015,r75_2015,m75_2014,r75_2014,m75_2013,r75_2013,m75_2012,r75_2012,m75_2011,r75_2011,m75_2010,r75_2010,m75_2009,r75_2009,m75_2008,r75_2008,m75_2007,r75_2007,m75_2006,r75_2006,m75_2005,r75_2005,m75_2004,r75_2004,m75_2003,r75_2003,m75_2002,r75_2002,m19_2018,r19_2018,m19_2017,r19_2017,m19_2016,r19_2016,m19_2015,r19_2015,m19_2014,r19_2014,m19_2013,r19_2013,m19_2012,r19_2012,m19_2011,r19_2011,m41_2018,r41_2018,m41_2017,r41_2017,m41_2016,r41_2016,m41_2015,r41_2015,m41_2013,r41_2013,m41_2011,r41_2011,m42_2018,m42_2017,m42_2016,m42_2015,m42_2013,m42_2011,m79_2018,r79_2018,m79_2017,r79_2017,m79_2016,r79_2016,m79_2015,r79_2015,m79_2014,r79_2014
NPA,Household_Income_2018,Household_Income_moe_2018,Household_Income_2017,Household_Income_moe_2017,Public_Nutrition_Assistance_2018,Public_Nutrition_Assistance_2017,Public_Nutrition_Assistance_2016,Public_Nutrition_Assistance_2015,Public_Nutrition_Assistance_2013,Public_Nutrition_Assistance_2011,Employment_Rate_2018,Employment_Rate_moe_2018,Employment_Rate_2017,Employment_Rate_moe_2017,Job_Density_2015,Jobs_2015,Job_Density_2014,Jobs_2014,Job_Density_2013,Jobs_2013,Job_Density_2012,Jobs_2012,Job_Density_2011,Jobs_2011,Job_Density_2010,Jobs_2010,Job_Density_2009,Jobs_2009,Job_Density_2008,Jobs_2008,Job_Density_2007,Jobs_2007,Job_Density_2006,Jobs_2006,Job_Density_2005,Jobs_2005,Job_Density_2004,Jobs_2004,Job_Density_2003,Jobs_2003,Job_Density_2002,Jobs_2002,Commercial_Construction_2018,Commercial_Construction_Permitted_Units_2018,Commercial_Construction_2017,Commercial_Construction_Permitted_Units_2017,Commercial_Construction_2016,Commercial_Construction_Permitted_Units_2016,Commercial_Construction_2015,Commercial_Construction_Permitted_Units_2015,Commercial_Construction_2014,Commercial_Construction_Permitted_Units_2014,Commercial_Construction_2013,Commercial_Construction_Permitted_Units_2013,Commercial_Construction_2012,Commercial_Construction_Permitted_Units_2012,Commercial_Construction_2011,Commercial_Construction_Permitted_Units_2011,Commercial_Size_2018,Commercial_Size_Total_2018,Commercial_Size_2017,Commercial_Size_Total_2017,Commercial_Size_2016,Commercial_Size_Total_2016,Commercial_Size_2015,Commercial_Size_Total_2015,Commercial_Size_2013,Commercial_Size_Total_2013,Commercial_Size_2011,Commercial_Size_Total_2011,Commercial_Building_Age_2018,Commercial_Building_Age_2017,Commercial_Building_Age_2016,Commercial_Building_Age_2015,Commercial_Building_Age_2013,Commercial_Building_Age_11,Fincancial_Services_Proximity_2018,Financial_Services_Proximate_Units_2018,Fincancial_Services_Proximity_2017,Financial_Services_Proximate_Units_2017,Fincancial_Services_Proximity_2016,Financial_Services_Proximate_Units_2016,Fincancial_Services_Proximity_2015,Financial_Services_Proximate_Units_2015,Fincancial_Services_Proximity_2014,Financial_Services_Proximate_Units_2014
133,110833,28613,79196,12319,1,0,1,1,2,3,81,18,93,33,0.8,134,0.8,127,0.8,120,0.8,128,0.4,56,0.3,41,0.3,42,0.3,49,0.3,41,0.2,36,0.2,31,0.2,33,0.2,39,0.3,43,0,0,5.04,8,3.15,5,2.52,4,0.63,1,1.26,2,0.63,1,0,0,,,,,,,,,,,,,,,,,,,89,488,93,584,93,585,93,584,93,583
134,31630,7644,31610,8570,16,20,20,20,15,30,95,11,85,9,0.3,34,0.2,24,0.3,29,0.3,34,0.4,43,0.3,29,0.2,24,0.3,34,0.3,35,0.2,23,0.3,29,0.2,24,0.4,42,0.5,55,0.87,1,0.87,1,0,0,0,0,0.87,1,0,0,12.11,14,0,0,6537,26146,6537,26148,6537,26146,6537,26146,6537,26146,6537,26146,29,28,27,26,24,22,0,0,0,0,0,0,0,0,0,0
135,32969,9020,26813,14004,33,37,39,36,40,41,95,45,100,0,7.7,1093,8.8,1243,7.9,1111,8,1122,6.8,957,13.3,1878,12,1688,10.5,1481,15,2119,18.5,2610,19.5,2747,17.2,2421,21,2967,18.1,2556,0,0,5.66,8,1.42,2,1.42,2,4.96,7,3.54,5,7.79,11,1.42,2,31990,511832,30302,515134,30302,515132,30255,514334,30328,515569,30328,515569,39,38,37,36,34,32,100,555,100,555,100,555,100,555,100,555
136,97130,11800,92531,18227,6,6,6,6,6,7,94,23,93,7,0.1,64,0,27,0,21,0,22,0.1,55,0.1,41,0.1,41,0.1,43,0,21,0,18,0,23,0,16,0,12,0,14,0.15,1,0.15,1,0.15,1,0.15,1,0,0,0.15,1,0,0,0,0,4853,33974,4853,33971,3968,23806,3968,23806,3968,23806,4593,22964,35,34,38,37,35,38,1,8,1,7,1,7,1,7,1,6
137,51154,38130,56810,21800,33,38,41,40,35,32,87,33,89,11,1.8,1321,1.5,1070,1.6,1183,1.5,1075,1.4,1036,1.3,984,1.4,1006,1.5,1122,1.3,932,1.1,786,1,695,1,700,1,742,1.5,1067,0.86,6,1.71,12,2.14,15,0.55,4,0.27,2,0.55,4,0.14,1,0.41,3,12293,737588,12109,726540,11810,708588,11805,720110,12029,709731,12155,704975,39,38,39,39,37,35,2,13,3,14,3,14,3,15,3,17
138,41964,34802,25552,8977,39,41,44,42,33,34,94,30,84,10,6.8,3436,6,3070,7.5,3836,7.5,3809,6.1,3099,5.6,2847,5.7,2917,6.1,3114,6.4,3273,6.1,3119,5.8,2970,5.4,2759,4.9,2485,5.3,2675,0.39,2,1.77,9,0.2,1,0.59,3,0.79,4,0.2,1,0.98,5,1.97,10,17449,1203954,17705,1203940,17854,1231914,17673,1219409,17478,1223446,17582,1230768,38,38,37,36,35,33,0,0,0,0,0,0,0,0,0,0
139,28125,7218,33075,7290,21,23,32,30,27,28,96,45,88,59,0.6,364,0.7,416,0.5,327,0.4,268,0.4,237,0.3,220,0.4,243,0.4,284,0.5,301,0.4,233,0.4,228,0.3,191,0.3,215,0.3,186,0.16,1,0,0,0.31,2,0.47,3,0.16,1,0.63,4,0.47,3,0.47,3,7222,202225,7310,204680,7377,206564,7348,205752,7527,203218,7473,209234,38,37,36,35,35,33,17,111,15,101,15,101,15,101,15,101
140,46923,5148,49391,6015,18,22,28,27,21,21,100,82,91,13,0.6,660,0.6,656,0.7,689,0.7,681,0.3,273,0.2,253,0.3,288,0.3,329,0.3,347,0.4,387,0.4,414,0.4,397,0.4,460,0.4,451,0.19,2,0.29,3,0.38,4,0.67,7,0.29,3,0.19,2,0.67,7,0.1,1,21061,589709,20034,520884,20060,521560,20054,521396,18007,450182,18673,448142,35,35,34,32,32,31,2,22,3,29,3,29,3,29,3,30
141,24688,22015,19367,10186,35,40,53,51,40,48,100,57,84,14,3.7,2549,3.7,2547,3.6,2419,3.5,2399,2.9,1991,2.9,1996,3.5,2367,3.8,2591,3.3,2278,3,2062,2.6,1743,2.5,1693,2.4,1608,3,2076,0.74,5,2.21,15,1.03,7,1.03,7,1.03,7,3.96,27,1.03,7,0.15,1,25723,2700896,25933,2697032,25731,2701756,25607,2688701,25829,2712068,25106,2686361,49,47,46,45,43,41,1,3,1,4,1,4,1,4,1,4
142,48310,11669,49495,14904,18,20,25,25,22,27,99,24,90,6,3.6,1609,3.5,1559,3.5,1564,3.3,1467,3.4,1495,3.4,1482,3.4,1502,4,1785,4.6,2026,4.4,1943,4.2,1835,3.9,1730,4.4,1925,3.3,1442,2.04,9,1.58,7,2.26,10,1.81,8,2.26,10,3.17,14,3.17,14,2.26,10,58987,1474669,61233,1469592,64667,1552016,57552,1496345,57762,1501811,57619,1498101,28,27,26,25,23,21,0,0,0,0,0,0,0,0,0,0
143,84041,15858,76339,29824,1,1,1,1,1,1,93,31,85,4,0.2,54,0.1,39,0.1,28,0.2,44,0.2,50,0.2,44,0.2,55,0.2,53,0.2,58,0.2,68,0.2,57,0.2,56,0.2,52,0.2,53,0.34,1,1.37,4,0.34,1,0,0,0,0,0.34,1,0.68,2,0,0,634,2536,634,2536,636,2544,636,2544,636,2544,636,2544,19,18,17,16,14,12,8,52,8,52,8,52,8,52,8,52
144,35579,6372,32650,6764,29,28,34,33,34,33,94,35,95,5,0.2,56,0.1,35,0.2,54,0.2,61,0.2,52,0.3,71,0.3,84,0.4,87,0.5,114,0.4,97,0.5,127,0.7,164,0.6,148,0.6,149,0,0,4.89,12,4.89,12,0,0,1.63,4,0,0,0.41,1,8.55,21,6116,61159,6116,61160,6307,56759,6115,61145,6115,61145,6115,61145,41,40,39,38,36,34,0,0,0,0,0,0,0,0,0,0
145,51654,10282,47031,10469,24,27,34,32,30,28,96,22,95,29,0.9,455,0.8,422,0.8,415,0.8,420,0.3,135,0.2,102,0.3,177,0.3,141,0.3,143,1.3,650,1.1,591,1.2,606,1.1,590,1.1,597,1.15,6,0.19,1,1.15,6,0,0,1.15,6,1.15,6,0.77,4,0.19,1,10830,75810,10830,75810,10830,75810,10830,75810,10722,75055,10722,75055,23,22,21,20,18,16,4,28,4,29,4,29,4,29,4,29
146,65786,6226,63558,14283,15,17,22,22,17,15,96,19,91,30,1.5,655,1.5,658,1.2,509,1.2,526,0.8,333,0.6,264,0.5,215,0.5,228,0.6,241,0.3,118,0.2,79,0.3,116,0.2,84,0.3,113,1.15,5,0,0,1.38,6,0.23,1,0,0,0.69,3,1.15,5,0.23,1,29180,320982,29180,320980,29207,321279,30256,332813,30256,332813,32444,324443,14,13,12,11,9,8,54,372,55,380,55,364,54,360,55,364
147,42150,14068,37198,8794,22,26,28,27,22,20,95,11,96,25,0.4,188,0.4,169,0.4,166,0.3,125,0.3,137,0.3,134,0.4,163,0.3,131,0.4,195,0.4,201,0.4,186,0.4,162,0.4,163,0.4,160,0.44,2,0.44,2,0.66,3,0.44,2,0.22,1,0.88,4,0.22,1,3.73,17,17602,193619,19135,191350,18675,205430,18519,203711,18519,203711,18566,204228,33,32,31,30,28,26,0,4,0,1,0,0,0,0,0,0
148,121375,30174,126250,21100,1,1,2,2,1,1,92,25,96,17,0.3,198,0.3,189,0.3,179,0.7,401,0.2,94,0.1,84,0.1,86,0.2,121,0.2,119,0.2,133,0.2,112,0.2,97,0.2,103,0.1,88,0.5,3,0.17,1,0.67,4,0.17,1,0.17,1,0,0,0.17,1,0,0,6112,24449,6112,24448,6112,24449,6112,24449,4964,19857,4964,19857,28,27,26,25,27,25,50,485,53,495,53,494,52,494,52,494
149,80766,15300,78889,25692,4,3,4,4,2,2,79,27,98,8,3.1,859,2.4,664,2.4,666,2.4,667,2.1,587,2.3,626,2.8,766,2.9,791,1.9,530,4.5,1231,2,539,2,555,2.1,576,3.3,903,1.09,3,2.17,6,3.98,11,3.26,9,2.17,6,1.81,5,1.45,4,1.45,4,35267,317406,35267,317403,35267,317406,35267,317406,35267,317406,35267,317406,17,16,15,14,12,10,54,242,54,242,54,242,54,242,59,243
150,40417,9505,38021,12364,18,21,28,26,22,23,91,50,90,3,0.4,236,0.4,242,0.4,218,0.4,224,0.2,108,0.2,92,0.2,110,0.2,88,0.2,87,0.2,126,0.2,119,0.2,126,0.2,119,0.2,117,0,0,0.72,4,0,0,0.18,1,0.18,1,0.18,1,0.36,2,0,0,5987,41912,5987,41909,5987,41912,5987,41912,6986,41918,6986,41918,34,33,32,31,36,34,0,0,0,0,0,0,0,0,0,0
151,127802,23451,111951,19389,2,2,3,2,2,2,96,37,100,0,0.8,404,0.5,290,0.6,297,0.6,329,0.3,138,0.1,55,0.2,111,0.2,90,0.1,69,0.1,40,0,24,0,13,0,21,0,18,1.87,10,1.31,7,1.49,8,3.37,18,0.37,2,0.75,4,0.19,1,0.19,1,5142,35996,5142,35994,5142,35996,5142,35996,5142,35996,5142,35996,23,22,21,20,18,16,56,727,41,530,50,558,50,558,50,558
152,68438,21706,66438,17449,11,13,14,14,13,14,99,54,97,10,0,2,0,0,0,2,0,1,0,3,0,4,0,5,0,12,0,5,0,3,0,3,0,4,0,3,0,11,0.17,1,0.17,1,0,0,0,0,0,0,0,0,0.17,1,0.17,1,1836,1836,1836,1836,1836,1836,1836,1836,1836,1836,1836,1836,13,12,11,10,8,6,0,0,0,0,0,0,0,0,0,0
153,102332,15363,97750,25058,7,8,9,8,7,7,97,40,96,3,1.9,1552,1.8,1435,1.9,1521,1.8,1446,1.1,877,0.8,614,0.6,466,0.7,587,1,816,0.5,408,0.5,393,0.4,312,0.2,152,0.2,202,0.86,7,0.86,7,1.11,9,0.98,8,1.97,16,1.11,9,2.46,20,1.6,13,15853,396325,15879,396975,15879,396981,15709,377006,16190,372364,17256,396884,16,15,14,13,12,10,40,486,39,474,38,468,38,468,38,468
154,101169,3585,89947,15590,6,7,5,5,7,7,97,58,94,19,0.6,466,0.5,351,0.5,343,0.4,273,0.3,223,0.3,249,0.3,250,0.4,289,1.3,947,1.8,1338,1.4,1053,1.3,935,1.1,806,1.3,977,0.14,1,0.55,4,3.56,26,0.96,7,0.96,7,0,0,0.68,5,0.68,5,12504,162554,12504,162552,12504,162551,12225,158926,13168,158012,12753,153033,20,19,18,17,14,12,40,461,40,460,40,460,40,460,39,448
155,54663,7125,52483,6617,11,12,15,14,15,19,93,26,93,4,0.2,253,0.2,247,0.2,215,0.2,211,0.1,146,0.1,147,0.1,126,0.1,128,0.1,156,0.1,127,0.1,112,0.1,85,0.1,93,0.1,98,0.48,6,0.88,11,0.64,8,0.8,10,0,0,0,0,0.08,1,0,0,11496,137956,9132,91320,9657,86913,8646,77813,8646,77813,8646,77813,30,34,37,36,34,32,0,0,0,0,0,0,0,0,0,0
156,76146,14357,58807,13823,16,16,22,22,19,22,94,25,91,8,0.3,382,0.4,433,0.3,362,0.4,400,0.1,94,0,55,0.1,58,0,54,0,43,0,54,0,38,0,18,0,27,0,42,0.18,2,0.27,3,0.18,2,0.45,5,0.09,1,0,0,0.09,1,0,0,9567,86102,8988,89880,8988,89881,7138,71381,7247,79717,9111,100217,26,25,24,23,22,20,0,0,0,0,0,0,0,0,0,0
157,21724,8960,25875,11741,56,58,72,74,59,65,93,44,81,40,6,3407,6.2,3557,5.9,3386,6.1,3480,7.5,4292,7.4,4251,6.3,3611,6.6,3800,6.2,3560,6.4,3665,6.7,3811,5.8,3327,6.7,3857,7.1,4056,3.5,20,4.37,25,2.1,12,2.97,17,4.72,27,1.22,7,2.1,12,1.57,9,19339,2726826,19980,2857140,19723,2859811,19738,2881703,20517,3077509,20521,3098612,55,54,54,53,52,50,74,206,74,209,75,215,75,215,81,318
158,49659,6800,44313,7272,28,32,37,36,31,31,93,34,84,3,1.6,1945,1.3,1632,1.3,1635,1.4,1668,1.4,1655,1.2,1505,1.6,1932,1.8,2164,1.2,1443,1.2,1424,1.1,1371,1.1,1349,1.3,1528,1.6,1943,0.49,6,0.41,5,1.14,14,1.39,17,0.33,4,0.41,5,0.57,7,0.74,9,66765,2804141,67522,2768402,69609,2784350,65360,2810489,69368,2774725,70245,2809818,37,36,36,34,33,31,0,0,0,0,0,0,0,0,0,0
159,24464,8142,22000,5829,41,49,62,61,49,52,84,35,81,5,0.3,129,0.2,115,0.3,147,0.3,153,0.1,33,0,2,0.1,25,0,11,0,9,0.2,108,0.2,99,0.2,98,0.2,94,0.2,108,0.82,4,1.23,6,0.82,4,0.82,4,1.64,8,0.61,3,5.12,25,1.23,6,32061,448857,30033,450495,3650,51099,3427,51411,3427,51411,3273,52375,42,44,46,46,44,44,0,0,0,0,0,0,0,0,0,0
160,36687,5848,36403,3627,31,35,42,40,38,37,90,16,83,5,1.4,1115,1.4,1100,1.6,1226,1.8,1370,1.5,1145,1.4,1108,1.4,1107,1.7,1323,1.9,1482,2,1566,1.9,1504,2,1551,1.1,891,1.6,1277,0.9,7,0.77,6,0.9,7,1.16,9,0.52,4,0.64,5,0.26,2,0.52,4,19546,879551,19405,873225,19162,862300,17989,827480,19559,860611,19600,862393,35,34,33,32,33,31,0,0,0,0,0,0,0,0,0,0
161,41365,3667,34951,8129,11,13,19,19,21,22,91,25,100,0,0.1,27,0.2,55,0.2,71,0.2,62,0.2,59,0.2,46,0.2,58,0.1,42,0.2,64,0.3,91,0.3,92,0.4,103,0.5,135,0.4,127,2.38,7,0.68,2,1.7,5,2.04,6,0.68,2,1.7,5,1.36,4,0.68,2,32899,131595,32899,131596,26569,132845,26569,132845,26569,132845,24862,124311,37,36,33,32,30,28,90,1041,55,630,56,630,56,630,56,630
162,39792,22521,36875,16308,22,26,30,29,25,22,94,21,85,9,1,384,1.2,432,1.1,420,1.1,410,0.7,241,0.6,212,0.7,250,0.7,257,0.7,249,1.1,413,1,356,1,355,1,386,1,376,0.27,1,0.54,2,0.82,3,0.54,2,1.36,5,0.27,1,0,0,0.82,3,7503,180061,7503,180072,7802,187239,7772,186519,7781,186735,7237,180920,41,40,39,38,36,33,30,207,35,244,35,244,35,244,35,246
163,53380,8777,55625,10038,4,10,24,22,23,23,81,33,90,8,28.7,4994,27.7,4822,27.8,4837,11.1,1935,11,1921,9.4,1633,10,1739,9.9,1723,11.4,1991,10.2,1769,11,1917,9.4,1638,9.6,1671,9.3,1616,8.04,14,23.55,41,14.93,26,12.06,21,17.8,31,8.61,15,9.19,16,14.93,26,12297,811587,11950,788700,10288,678989,10117,647505,10080,665273,10164,670820,46,45,44,45,43,41,100,837,100,522,100,528,100,544,100,540
164,31723,,26753,,38,37,40,38,34,37,96,21,90,7,2.4,1562,2.5,1622,2.5,1608,2.4,1553,2.1,1334,1.6,1036,2.8,1800,2.5,1616,2.3,1476,2.6,1647,2.3,1472,3.1,2010,3.8,2422,3.2,2073,1.4,9,2.34,15,6.08,39,8.88,57,4.21,27,2.34,15,2.96,19,1.4,9,10655,724539,10697,716699,10752,720370,11196,750137,10992,747476,11196,750145,41,41,40,39,37,35,95,1590,96,1688,96,1691,96,1669,96,1740
165,36834,6548,36364,10030,24,29,33,32,33,39,92,42,96,9,4.1,745,5.2,942,4.8,862,4.5,817,4.3,781,2.2,394,0.8,147,0.7,132,0.8,145,0.8,146,0.7,124,0.7,130,0.8,136,0.8,148,1.66,3,0,0,1.66,3,1.11,2,0.55,1,2.21,4,192.09,347,1.66,3,15513,217186,15513,217182,16110,225546,16913,219873,16913,219873,16779,218121,30,29,28,29,27,25,95,865,93,842,93,843,93,843,93,843
166,32318,17632,30734,5651,24,28,29,28,25,39,99,44,100,0,1.2,182,1,152,1,156,1.1,161,0.5,73,1.3,195,1.3,191,1.1,165,1,158,1.2,177,1.1,169,1.3,194,1.3,201,1.3,197,1.32,2,0.66,1,1.32,2,1.98,3,0.66,1,2.64,4,93.81,142,1.32,2,14778,103444,14778,103446,14778,103444,14778,103444,14778,103444,16646,99878,28,27,26,25,23,24,77,413,74,396,74,396,74,396,74,396
167,30050,9547,26607,10074,23,24,31,31,26,29,93,23,93,4,0.3,63,0.2,45,0.3,48,0.2,35,1.3,245,0.8,152,0.6,110,0.3,52,0.2,35,0.2,28,0.2,28,0.3,62,0.4,75,0.3,60,0.54,1,9.79,18,0,0,0,0,1.63,3,0.54,1,0,0,0.54,1,28737,229894,27604,220832,27604,220830,27604,220830,27604,220830,30922,216452,28,27,26,25,23,24,0,0,0,0,0,0,0,0,0,0
168,45399,12022,37242,9306,25,27,28,28,29,33,80,30,85,8,0.6,134,0.5,117,0.4,100,0.4,102,0.2,49,0.3,69,0.2,55,0.2,55,0.2,55,0.2,38,0.1,28,0.1,32,0.2,49,0.2,50,0.88,2,0.44,1,0.44,1,0.44,1,0,0,0.44,1,0.88,2,0.88,2,93824,187647,93824,187648,93824,187647,93824,187647,93824,187647,93824,187647,40,39,38,37,35,33,34,217,35,219,34,218,34,217,34,217
169,126032,15673,121528,16770,3,3,3,3,3,4,96,23,98,22,0.3,84,0.2,58,0.2,48,0.2,44,0.1,27,0.1,21,0.1,26,0.2,42,0.2,41,0,9,0,8,0,7,0,2,0,1,0,0,0.41,1,0.82,2,0.41,1,8.58,21,15.94,39,0,0,0.82,2,4075,4075,,,,,4075,4075,4075,4075,4075,4075,16,,,13,11,9,18,182,9,80,0,2,0,2,0,0
170,120441,22528,90682,35153,2,3,3,2,2,2,92,46,96,25,1.8,845,1.8,867,1.6,765,0.8,366,1.2,586,2,946,1.3,596,1.4,648,0.6,308,0.4,180,0.2,82,0.2,73,0.1,59,0.1,65,1.47,7,1.68,8,2.1,10,0.21,1,1.89,9,0.84,4,0.63,3,0.63,3,28849,144245,33581,134324,33581,134325,33581,134325,23552,94209,30191,90573,11,12,11,10,8,8,48,308,49,312,49,312,49,312,49,311
171,54081,18415,51220,14760,2,2,2,2,3,3,98,15,95,6,7.6,2167,8.2,2353,7.6,2175,8.4,2416,9,2563,8.9,2545,7.8,2242,6.5,1857,6.2,1767,6.1,1739,6.4,1829,5.9,1699,5.1,1466,4.3,1232,4.19,12,5.59,16,5.94,17,4.89,14,4.89,14,4.54,13,5.94,17,2.79,8,37849,756975,36870,737400,36870,737392,36851,737012,36851,737012,34297,651650,18,17,16,15,13,11,89,452,88,448,65,289,62,245,62,250
172,126793,20960,132700,11030,1,2,2,2,2,2,87,41,97,2,1.5,1408,1.3,1260,1.3,1223,1.4,1280,1,979,0.6,551,1,935,1.2,1126,1.3,1200,1.2,1092,0.9,857,0.8,737,0.5,434,0.3,293,5.62,53,1.91,18,0.74,7,1.06,10,0.53,5,0.53,5,0.53,5,1.17,11,33022,693460,30149,572831,30728,583834,32073,673537,32073,673537,33828,642727,16,15,15,14,12,11,48,547,46,522,46,523,46,520,45,497
173,38750,20327,50233,19098,32,35,44,44,37,34,95,35,94,8,2.2,837,2.2,838,0.4,150,2.3,861,2.7,1007,2.5,933,2.4,922,2.5,953,0.3,126,0.3,107,2,769,2,767,2.1,781,1.9,734,0.79,3,1.32,5,0.26,1,0.26,1,0.53,2,0.26,1,0,0,0,0,37099,296793,40685,284795,37099,296793,37099,296793,37099,296793,37099,296793,49,49,47,46,44,42,13,56,14,59,12,52,9,37,7,29
174,72153,16298,71031,13873,8,9,11,11,12,13,100,33,93,5,0.9,2999,0.8,2690,0.8,2576,0.9,2784,0.8,2449,0.7,2088,0.7,2240,0.7,2307,0.8,2610,0.7,2247,0.7,2154,0.7,2222,0.6,2033,0.7,2270,1.23,39,1.2,38,1.64,52,1.2,38,1.26,40,0.41,13,0.79,25,0.41,13,46825,2903159,45343,2539208,45398,2496870,41944,2181075,41836,2175494,42041,2144081,20,20,20,20,18,16,0,0,0,0,0,0,0,0,0,0
175,127567,14362,122778,6633,1,2,2,2,3,2,88,20,94,3,0.5,249,0.6,297,0.5,260,0.4,230,0.3,175,0.3,168,0.3,165,0.3,163,0.3,168,0.2,89,0.2,90,0.2,83,0.1,73,0.1,59,0,0,0.38,2,0,0,0,0,0,0,0.38,2,0.38,2,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
176,94948,12527,102031,12102,2,2,2,2,2,1,93,24,93,20,0.4,166,0.4,187,0.4,183,0.2,116,0.2,105,0.3,156,0.7,318,0.7,322,0.2,110,0.2,88,0.1,65,0.1,44,0.1,56,0.1,27,0.21,1,0,0,0.21,1,0.21,1,0.21,1,0,0,0.21,1,0,0,1615,3229,1615,3230,1615,3229,1615,3229,1246,1246,1246,1246,18,17,16,15,13,11,11,132,15,169,3,31,3,31,3,31
177,67813,66203,,,1,1,2,2,1,1,99,25,98,4,0.5,247,0.5,262,0.5,261,0.5,246,0.4,203,0.3,137,0.3,138,0.4,184,0.3,157,0.1,75,0.2,125,0.1,68,0.2,108,0.2,125,0,0,0.59,3,0.2,1,0.59,3,0,0,0,0,0,0,0,0,468,468,468,468,468,468,468,468,468,468,468,468,35,34,33,32,30,28,6,53,4,29,4,30,4,30,4,28
178,76372,4807,74057,5589,5,4,4,4,4,6,94,35,95,5,9.7,19513,7.7,15573,7.2,14641,6.9,14017,5.3,10768,5.9,11972,6,12092,6.3,12719,6.4,12870,5.6,11384,5.8,11736,6.1,12354,6.3,12725,6.3,12760,3.61,73,3.7,75,2.91,59,3.96,80,3.46,70,3.76,76,3.96,80,3.02,61,54360,5816535,56770,6074390,54678,5850572,54110,5843837,55543,6054209,54046,5945102,25,24,23,22,20,18,32,439,49,639,49,639,43,504,35,355
179,192661,103187,130104,50872,1,1,1,1,2,3,87,54,92,34,0.7,352,0.7,353,0.6,322,0.6,288,0.6,324,0.5,267,0.9,458,1,499,1.4,684,1,518,1,503,0.8,377,1,485,1,507,0,0,0.2,1,1,5,0.4,2,0.8,4,0.8,4,0.2,1,0.4,2,6559,45911,6559,45913,6559,45911,6559,45911,6559,45911,6559,45911,42,41,40,39,37,35,20,154,24,160,24,160,28,188,22,144
180,43849,10572,50536,21165,21,23,29,28,22,20,89,27,88,12,1.9,559,1.9,575,1.8,543,2,587,1.6,484,1.9,575,1.7,513,2.1,634,2.2,659,1.9,563,2.1,621,2.2,645,2.2,672,2.2,643,0.33,1,0.67,2,4.01,12,1,3,0.33,1,0,0,1,3,0.33,1,12905,374251,12610,378300,12568,377042,11293,327511,11501,322020,10952,306650,37,37,38,38,36,34,46,245,33,174,33,174,35,174,34,163
181,83750,20475,84630,15598,1,1,2,2,2,3,95,29,97,16,0.6,579,0.7,666,0.6,609,0.7,682,0.4,451,0.4,413,0.5,513,0.5,486,0.4,370,0.4,402,0.4,396,0.3,340,0.3,351,0.3,317,0.59,6,0.1,1,0.59,6,0.1,1,0.59,6,0.29,3,0.69,7,0.59,6,21725,152073,21725,152075,24750,148502,21258,148808,21258,148808,18920,132440,23,22,21,20,18,17,0,0,0,0,0,0,0,0,0,0
182,27169,12727,31944,9268,35,40,52,50,49,49,88,33,90,5,2.1,455,1.9,421,2.2,472,1.9,413,1.5,321,0.7,162,0.2,41,0.1,32,0.3,57,0.3,69,0.3,57,0.3,59,0.2,49,0.2,51,1.84,4,4.13,9,9.64,21,5.05,11,2.29,5,4.13,9,4.59,10,4.59,10,61726,740715,31277,344047,28762,345143,19288,231459,27994,307932,27912,307032,36,38,37,35,33,31,0,0,0,0,0,0,0,0,0,0
183,45969,18004,45457,10998,25,26,33,32,27,27,82,17,89,23,0.6,141,0.4,99,0.5,105,0.1,31,0,5,2.2,496,0.8,178,0.8,184,0.8,177,0.9,205,0.7,166,0.7,160,0.8,186,0.9,192,0,0,0.45,1,0,0,49.31,110,0,0,0,0,78.44,175,0,0,8562,25686,8562,25686,8562,25686,8562,25686,8562,25686,8562,25686,28,27,26,25,23,21,21,73,19,66,19,66,19,67,19,67
184,106563,19265,98875,14991,2,2,3,3,3,3,99,14,100,0,1.1,254,1.1,263,1.7,391,1.6,367,1,234,0.5,125,0.5,107,0.3,78,0.4,82,0.2,40,4.6,1085,4.1,962,6.4,1498,8.6,2013,6.41,15,0.43,1,0.43,1,0.43,1,0.85,2,0,0,0,0,0,0,8955,53732,8955,53730,8955,53732,8955,53732,8955,53732,8955,53732,62,61,60,59,57,55,55,383,62,421,61,421,61,421,61,421
185,39924,7577,36712,5466,12,14,18,18,20,23,99,26,93,3,2.1,277,2.8,371,1.8,240,3.2,414,3.4,444,3.2,421,4.2,553,3.8,504,4.3,563,4.5,587,4.2,548,4.7,610,5,655,5.1,670,1.53,2,205.17,268,58.95,77,5.36,7,0,0,3.06,4,18.37,24,3.06,4,11003,176055,11003,176048,13467,228931,14649,263689,14012,252211,13024,221404,29,28,28,28,26,26,0,0,0,0,0,0,0,0,0,0
