NPA,m37_2018,m37_moe_2018,m37_2017,m37_moe_2017,m80_2018,m80_2017,m80_2016,m80_2015,m80_2013,m80_2011,m38_2018,m38_moe_2018,m38_2017,m38_moe_2017,m75_2015,r75_2015,m75_2014,r75_2014,m75_2013,r75_2013,m75_2012,r75_2012,m75_2011,r75_2011,m75_2010,r75_2010,m75_2009,r75_2009,m75_2008,r75_2008,m75_2007,r75_2007,m75_2006,r75_2006,m75_2005,r75_2005,m75_2004,r75_2004,m75_2003,r75_2003,m75_2002,r75_2002,m19_2018,r19_2018,m19_2017,r19_2017,m19_2016,r19_2016,m19_2015,r19_2015,m19_2014,r19_2014,m19_2013,r19_2013,m19_2012,r19_2012,m19_2011,r19_2011,m41_2018,r41_2018,m41_2017,r41_2017,m41_2016,r41_2016,m41_2015,r41_2015,m41_2013,r41_2013,m41_2011,r41_2011,m42_2018,m42_2017,m42_2016,m42_2015,m42_2013,m42_2011,m79_2018,r79_2018,m79_2017,r79_2017,m79_2016,r79_2016,m79_2015,r79_2015,m79_2014,r79_2014
NPA,Household_Income_2018,Household_Income_moe_2018,Household_Income_2017,Household_Income_moe_2017,Public_Nutrition_Assistance_2018,Public_Nutrition_Assistance_2017,Public_Nutrition_Assistance_2016,Public_Nutrition_Assistance_2015,Public_Nutrition_Assistance_2013,Public_Nutrition_Assistance_2011,Employment_Rate_2018,Employment_Rate_moe_2018,Employment_Rate_2017,Employment_Rate_moe_2017,Job_Density_2015,Jobs_2015,Job_Density_2014,Jobs_2014,Job_Density_2013,Jobs_2013,Job_Density_2012,Jobs_2012,Job_Density_2011,Jobs_2011,Job_Density_2010,Jobs_2010,Job_Density_2009,Jobs_2009,Job_Density_2008,Jobs_2008,Job_Density_2007,Jobs_2007,Job_Density_2006,Jobs_2006,Job_Density_2005,Jobs_2005,Job_Density_2004,Jobs_2004,Job_Density_2003,Jobs_2003,Job_Density_2002,Jobs_2002,Commercial_Construction_2018,Commercial_Construction_Permitted_Units_2018,Commercial_Construction_2017,Commercial_Construction_Permitted_Units_2017,Commercial_Construction_2016,Commercial_Construction_Permitted_Units_2016,Commercial_Construction_2015,Commercial_Construction_Permitted_Units_2015,Commercial_Construction_2014,Commercial_Construction_Permitted_Units_2014,Commercial_Construction_2013,Commercial_Construction_Permitted_Units_2013,Commercial_Construction_2012,Commercial_Construction_Permitted_Units_2012,Commercial_Construction_2011,Commercial_Construction_Permitted_Units_2011,Commercial_Size_2018,Commercial_Size_Total_2018,Commercial_Size_2017,Commercial_Size_Total_2017,Commercial_Size_2016,Commercial_Size_Total_2016,Commercial_Size_2015,Commercial_Size_Total_2015,Commercial_Size_2013,Commercial_Size_Total_2013,Commercial_Size_2011,Commercial_Size_Total_2011,Commercial_Building_Age_2018,Commercial_Building_Age_2017,Commercial_Building_Age_2016,Commercial_Building_Age_2015,Commercial_Building_Age_2013,Commercial_Building_Age_11,Fincancial_Services_Proximity_2018,Financial_Services_Proximate_Units_2018,Fincancial_Services_Proximity_2017,Financial_Services_Proximate_Units_2017,Fincancial_Services_Proximity_2016,Financial_Services_Proximate_Units_2016,Fincancial_Services_Proximity_2015,Financial_Services_Proximate_Units_2015,Fincancial_Services_Proximity_2014,Financial_Services_Proximate_Units_2014
114,28375,3891,25764,9905,37,42,47,45,35,39,91,33,94,16,3.3,2137,2.3,1478,2.2,1448,2.1,1405,2.3,1503,2.2,1460,2.1,1398,2.5,1607,2.1,1396,1.9,1263,2,1289,1.7,1083,1.8,1207,2.1,1362,0.46,3,0.3,2,1.52,10,0.92,6,0.46,3,1.22,8,1.37,9,1.22,8,31313,1158595,31313,1158581,31313,1158595,32044,1153595,32107,1123747,32107,1123747,32,31,30,30,27,25,38,200,29,128,29,128,26,111,27,113
115,106314,17712,110179,25820,2,2,2,2,2,1,99,35,94,16,2.5,1778,2.3,1633,2.1,1517,2,1443,1.7,1204,0.5,335,0.5,332,0.5,345,0.3,197,0.2,117,0.1,99,0.1,75,0.1,51,0.1,77,0.56,4,0.97,7,0.28,2,0.42,3,0.7,5,1.53,11,0.84,6,0.7,5,9786,293565,9786,293580,10123,293565,10123,293565,10316,288849,10489,262235,11,10,10,9,7,6,36,653,34,633,34,633,45,813,47,812
116,62880,5144,60841,3907,16,19,26,26,28,33,97,30,91,5,2.8,10148,2.6,9665,2.6,9448,2.5,9236,2.2,8213,2.1,7799,2.4,8777,2.8,10173,2.8,10346,2.8,10092,2.6,9514,2.4,8951,2.5,9035,2.6,9444,0.6,22,1.26,46,0.85,31,1.28,47,1.04,38,1.78,65,0.71,26,0.68,25,31228,9305907,31178,9228688,30175,8961945,30099,8939312,30092,8907087,29954,8866346,34,34,33,32,31,29,47,654,48,641,51,641,52,641,54,641
117,50938,4237,51545,5396,20,22,24,23,20,24,100,25,93,14,0.9,840,0.7,661,0.8,764,0.8,751,0.6,609,1.1,1127,0.5,448,0.4,407,0.3,263,0.3,297,0.5,515,0.4,440,0.5,472,0.3,319,0.1,1,0.2,2,0.5,5,0.1,1,0.5,5,0.1,1,0.2,2,0.2,2,23605,283258,23605,283260,23605,283258,23698,284370,23698,284370,23698,284370,27,26,25,24,22,20,0,0,0,0,0,0,0,0,0,0
118,112125,24036,100139,35506,2,2,2,2,2,1,95,32,92,8,0.3,88,0.3,96,0.2,68,0.2,70,0.2,67,0.2,75,0.3,82,0.2,53,0.2,48,0.2,69,0.2,74,0.2,71,0.2,60,0.2,67,0,0,0.63,2,0.31,1,0,0,0.63,2,0.31,1,0.31,1,0.31,1,9227,18454,9227,18454,9227,18454,9227,18454,9227,18454,9227,18454,18,17,17,15,13,11,0,1,0,0,0,0,0,0,0,0
119,40125,19038,51146,15480,16,18,19,18,20,19,92,15,91,21,0.6,575,0.6,583,0.6,567,0.6,580,0.4,403,0.3,265,0.3,261,0.2,242,0.3,279,0.6,579,0.5,545,0.5,533,0.6,560,0.5,549,0.98,10,0,0,0.49,5,0.29,3,1.18,12,0,0,0.39,4,0.2,2,9704,155257,9704,155264,9704,155257,9704,155257,9704,155257,9704,155257,39,38,37,36,34,32,0,0,0,0,0,0,0,0,0,0
120,25855,7198,22024,6686,57,65,72,66,56,53,93,11,74,14,0.7,262,0.7,253,0.6,233,0.4,161,0.6,226,0.5,192,0.6,246,0.7,252,0.5,188,0.5,182,0.5,191,0.5,201,0.4,167,0.6,225,0.26,1,0.26,1,0.52,2,0.78,3,0.52,2,0.52,2,0.52,2,0.26,1,9482,151706,9482,151712,10346,175890,9727,175090,9727,175090,9727,175090,43,42,39,38,36,34,0,0,0,0,0,0,0,0,0,0
121,36420,10209,36365,9607,29,30,37,35,32,32,95,32,88,10,0.9,415,1,443,0.8,347,0.8,366,1.9,889,1.5,684,1.6,717,1.7,797,2,908,1.1,528,0.8,388,0.7,332,4.8,2213,0.9,401,0.43,2,0.65,3,0.86,4,0.22,1,0.65,3,3.46,16,0.65,3,0,0,22201,510618,20999,482977,20999,482974,21089,485054,18650,428959,18650,428959,32,31,30,30,30,28,69,572,64,525,63,518,63,518,63,518
122,-,**,,,,,,,,,96,19,,,3.3,12414,3.2,12171,3,11512,2.5,9700,1,3958,0.6,2281,0.9,3309,0.9,3595,0.9,3382,0.7,2843,0.9,3567,0.9,3336,0.9,3319,0.7,2773,1.42,54,1.28,49,1.07,41,1.26,48,0.81,31,0.76,29,0.95,36,0.79,30,198472,5160273,199848,5196048,201178,5230639,176200,5286006,176200,5286006,154700,5259785,27,27,26,26,24,23,,,,,,,,,,
123,31713,8330,32051,8950,32,36,40,38,33,34,89,22,74,33,0.7,803,0.6,766,0.6,670,0.5,575,0.4,500,0.4,463,0.3,316,0.3,337,0.3,366,0.2,198,0.2,290,0.2,261,0.2,295,0.2,273,0.66,8,0.82,10,0.41,5,0.25,3,0.16,2,0.16,2,0.41,5,0.91,11,21532,645946,21455,643650,22504,675108,22504,675108,22321,647297,22924,641870,29,27,26,25,26,24,1,8,1,8,1,8,1,8,1,8
124,33221,,27823,,32,36,47,44,36,40,93,17,83,6,3.6,2575,4,2836,3.3,2359,3.4,2384,3.1,2166,2.3,1631,2.7,1898,2.8,1977,2.2,1586,2.5,1791,2.3,1634,2.3,1646,2.6,1841,2.5,1764,0.99,7,3.67,26,1.55,11,1.84,13,1.55,11,2.83,20,3.96,28,18.23,129,18821,1562143,18779,1539878,18781,1558795,19037,1580089,19069,1601821,21521,1764756,40,41,40,39,38,37,92,810,96,850,96,851,96,852,96,852
125,40666,6433,41897,11340,24,27,38,37,30,27,92,33,98,4,1.7,1717,1.6,1656,1.6,1619,1.6,1634,1.2,1262,1.2,1211,1.5,1541,1.7,1757,1.6,1649,1.7,1696,1.7,1685,1.7,1707,1.5,1571,1.6,1654,0.98,10,0.88,9,1.37,14,1.18,12,1.37,14,0.88,9,1.47,15,1.18,12,61753,2531867,61751,2531791,61792,2533463,61639,2527192,61356,2515611,62172,2549071,36,35,34,33,31,29,24,299,24,289,16,169,16,169,16,169
126,68750,34967,33162,16451,41,49,38,43,58,,96,36,98,7,0.2,23,0,3,0,5,0,6,0,5,0,2,0,6,0,1,0.1,11,0.4,55,0.4,61,0.4,61,0.4,57,0.3,49,0,0,9.96,14,0.71,1,2.85,4,0,0,0,0,0.71,1,0,0,5458,16373,4960,19840,4960,19839,4959,19836,4959,19836,4146,16584,50,45,44,43,41,39,0,0,0,0,0,0,0,0,0,0
127,30774,1353,32141,1748,16,26,32,31,33,28,95,30,89,20,1.1,476,1.2,539,1.2,523,1.1,480,1.1,495,1.3,593,1.6,723,2,899,2.3,1046,2.5,1128,2.1,936,2.8,1248,3.3,1501,3.2,1416,0.22,1,0.45,2,0.45,2,0.89,4,0.67,3,0.67,3,0.67,3,0,0,6443,103086,9152,155584,6184,98947,9057,153962,74622,1343204,55967,1343204,32,31,35,33,31,30,80,899,78,771,78,771,78,771,78,771
128,32826,5015,33413,5642,26,35,44,42,35,39,96,74,91,6,0.2,61,0.3,74,0.2,66,0.2,59,0.3,68,0.2,67,0.2,51,0.2,51,0.2,49,0.2,47,0.2,41,0.2,64,0.2,62,0.2,58,1.49,4,1.12,3,0.37,1,0,0,0,0,0.37,1,0.37,1,1.12,3,4048,68808,4129,70193,4005,72084,4005,72084,3794,72084,3794,72084,51,49,48,47,45,43,24,240,26,268,25,256,25,256,25,256
129,99167,24379,96667,15256,1,2,1,1,2,1,99,32,96,5,0.2,110,0.2,79,0.2,73,0.1,53,0.1,34,2.3,1119,0.2,74,0.1,72,0.2,76,0.1,48,0.1,46,0.1,49,0.1,51,0.1,46,1.24,6,1.24,6,0.21,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,12,101,12,100,12,100,12,100,12,100
130,136750,27732,115500,26939,1,1,1,1,1,2,100,44,98,3,0.1,250,0.1,288,0.1,296,0.1,275,0.1,212,0.1,210,0.1,241,0.1,288,0.1,234,0.1,235,0.1,219,0.1,201,0,170,0,153,0.03,1,0.03,1,0.06,2,0.08,3,0.17,6,0.14,5,0.14,5,0.14,5,8757,52541,8757,52542,8757,52541,8757,52541,8757,52541,8757,52541,33,32,31,30,28,26,0,0,0,0,0,0,0,0,0,0
131,78375,30790,57741,11434,10,9,12,12,10,11,99,30,97,19,0.2,64,0.2,44,0.2,55,0.2,53,0.2,56,0.3,72,0.2,48,0.3,76,0.3,82,0.2,51,0.2,59,0.1,27,0.2,53,0.3,72,0,0,0,0,0.37,1,0.74,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,1,11,1,11,1,11,1,11,1,11
132,-,**,,,8,7,9,9,9,14,86,25,100,0,1.2,229,1.2,218,1.3,252,1.3,246,1,185,0.6,113,0.6,122,0.6,112,0.6,106,0.5,90,0.5,88,0.4,77,0.3,62,0.6,114,1.59,3,2.12,4,2.65,5,2.12,4,2.12,4,0.53,1,1.59,3,1.59,3,8970,125585,8970,125580,8970,125585,8967,125537,8440,126598,8440,126598,58,57,56,55,54,52,86,236,89,248,89,250,89,250,89,248
