GEOID,coordinates
371190041003,"[[[-80.876255, 35.233102], [-80.873355, 35.231618], [-80.868816, 35.230486], [-80.866931, 35.228978], [-80.860434, 35.229011], [-80.861888, 35.227172], [-80.865533, 35.224385], [-80.866327, 35.223687], [-80.866831, 35.223194], [-80.866983, 35.22303], [-80.867292, 35.222697], [-80.867908, 35.222142], [-80.879556, 35.222242], [-80.87945, 35.223254], [-80.879358, 35.223782], [-80.878121, 35.230552], [-80.876255, 35.233102]]]"
371190042003,"[[[-80.874506, 35.236526], [-80.875717, 35.235143], [-80.876255, 35.233102], [-80.878854, 35.234657], [-80.880562, 35.235927], [-80.8852, 35.239415], [-80.88083, 35.243285], [-80.877997, 35.242112], [-80.876766, 35.241316], [-80.874506, 35.236526]]]"
371190043023,"[[[-80.897108, 35.25819], [-80.900737, 35.262281], [-80.897836, 35.263642], [-80.898369, 35.264763], [-80.898384, 35.266021], [-80.89843, 35.266383], [-80.899055, 35.269916], [-80.898287, 35.272507], [-80.895894, 35.27164], [-80.894005, 35.270397], [-80.888709, 35.262763], [-80.893601, 35.259599], [-80.897108, 35.25819]]]"
371190043051,"[[[-80.92124, 35.263445], [-80.917442, 35.260615], [-80.910409, 35.25724], [-80.904842, 35.254299], [-80.901091, 35.252304], [-80.897763, 35.249436], [-80.896753, 35.24836], [-80.896181, 35.247801], [-80.897191, 35.245678], [-80.909243, 35.248627], [-80.920091, 35.244654], [-80.921182, 35.244658], [-80.927088, 35.244589], [-80.927183, 35.255597], [-80.926589, 35.258977], [-80.92124, 35.263445]]]"
371190045002,"[[[-80.868152, 35.240669], [-80.870793, 35.241941], [-80.871648, 35.243581], [-80.872239, 35.244265], [-80.872992, 35.24484], [-80.876892, 35.246303], [-80.881794, 35.248841], [-80.883494, 35.254341], [-80.885212, 35.257468], [-80.880103, 35.260751], [-80.878921, 35.259554], [-80.873857, 35.256269], [-80.872593, 35.255441], [-80.871283, 35.254804], [-80.866251, 35.250476], [-80.869683, 35.24704], [-80.869263, 35.24187], [-80.868152, 35.240669]]]"
371190048001,"[[[-80.846742, 35.272566], [-80.84539, 35.268461], [-80.841248, 35.262631], [-80.840653, 35.261028], [-80.842342, 35.260913], [-80.842714, 35.260918], [-80.849318, 35.261825], [-80.854715, 35.262992], [-80.853938, 35.266766], [-80.854187, 35.271141], [-80.846742, 35.272566]]]"
371190049001,"[[[-80.836348, 35.245464], [-80.836725, 35.242612], [-80.836742, 35.241907], [-80.840893, 35.238642], [-80.841793, 35.237642], [-80.848393, 35.239442], [-80.850497, 35.241046], [-80.847069, 35.243277], [-80.845704, 35.248074], [-80.844414, 35.247965], [-80.836348, 35.245464]]]"
371190051002,"[[[-80.835848, 35.249532], [-80.836074, 35.256563], [-80.836162, 35.257126], [-80.836238, 35.257462], [-80.82821, 35.257562], [-80.824598, 35.255189], [-80.826877, 35.252467], [-80.829493, 35.248842], [-80.835415, 35.243011], [-80.836742, 35.241907], [-80.836725, 35.242612], [-80.836348, 35.245464], [-80.835825, 35.248673], [-80.835844, 35.249419], [-80.835848, 35.249532]]]"
371190053012,"[[[-80.814657, 35.26919], [-80.811474, 35.273665], [-80.809067, 35.276659], [-80.808826, 35.276634], [-80.803804, 35.276222], [-80.793526, 35.278725], [-80.793508, 35.276552], [-80.793522, 35.273669], [-80.794943, 35.265756], [-80.794987, 35.26492], [-80.798267, 35.265129], [-80.802429, 35.263484], [-80.804869, 35.264464], [-80.813851, 35.270291], [-80.8143, 35.269589], [-80.814556, 35.269152], [-80.814657, 35.26919]]]"
371190053071,"[[[-80.777696, 35.278739], [-80.778439, 35.278726], [-80.779191, 35.278621], [-80.783161, 35.278015], [-80.78875, 35.2768], [-80.789442, 35.277696], [-80.790381, 35.279387], [-80.790476, 35.279539], [-80.77367, 35.28403], [-80.772769, 35.284169], [-80.770748, 35.28427], [-80.775931, 35.280077], [-80.777696, 35.278739]]]"
371190053082,"[[[-80.769107, 35.278507], [-80.76636, 35.277001], [-80.767631, 35.270896], [-80.770086, 35.271306], [-80.769649, 35.273349], [-80.772105, 35.272987], [-80.772882, 35.275355], [-80.769713, 35.276504], [-80.769107, 35.278507]]]"
371190054032,"[[[-80.825232, 35.309833], [-80.82152, 35.307358], [-80.819193, 35.30584], [-80.805455, 35.301162], [-80.806539, 35.300783], [-80.806806, 35.300673], [-80.812572, 35.297449], [-80.815502, 35.294401], [-80.819951, 35.28946], [-80.821335, 35.29199], [-80.822915, 35.292384], [-80.824713, 35.295184], [-80.825353, 35.2977], [-80.828241, 35.29845], [-80.828963, 35.300161], [-80.827909, 35.302288], [-80.829131, 35.303097], [-80.828422, 35.304949], [-80.830407, 35.307373], [-80.826132, 35.310246], [-80.825356, 35.309723], [-80.825232, 35.309833]]]"
